Time (s),USB Avg Power (mW)
0.0000,556.6484
0.0002,565.0097
0.0004,557.8442
0.0006,555.4525
0.0008,556.6484
0.0010,556.6484
0.0012,570.9842
0.0014,566.2056
0.0016,556.6484
0.0018,556.6484
0.0020,556.6484
0.0022,563.8139
0.0024,557.8442
0.0026,555.4525
0.0028,557.8442
0.0030,557.8442
0.0032,566.2056
0.0034,557.8442
0.0036,556.6484
0.0038,556.6484
0.0040,557.8442
0.0042,563.8139
0.0044,557.8442
0.0046,556.6484
0.0048,557.8442
0.0050,557.8442
0.0052,563.8139
0.0054,557.8442
0.0056,556.6484
0.0058,557.8442
0.0060,557.8442
0.0062,563.8139
0.0064,556.6484
0.0066,555.4525
0.0068,559.0401
0.0070,557.8442
0.0072,565.0097
0.0074,557.8442
0.0076,555.4525
0.0078,559.0401
0.0080,556.6484
0.0082,563.8139
0.0084,557.8442
0.0086,556.6484
0.0088,557.8442
0.0090,557.8442
0.0092,573.3711
0.0094,548.287
0.0096,555.4525
0.0098,557.8442
0.0100,557.8442
0.0102,563.8139
0.0104,557.8442
0.0106,556.6484
0.0108,559.0401
0.0110,557.8442
0.0112,563.8139
0.0114,556.6484
0.0116,556.6484
0.0118,557.8442
0.0120,557.8442
0.0122,563.8139
0.0124,557.8442
0.0126,556.6484
0.0128,559.0401
0.0130,556.6484
0.0132,565.0097
0.0134,556.6484
0.0136,556.6484
0.0138,557.8442
0.0140,557.8442
0.0142,563.8139
0.0144,557.8442
0.0146,556.6484
0.0148,557.8442
0.0150,556.6484
0.0152,563.8139
0.0154,556.6484
0.0156,555.4525
0.0158,557.8442
0.0160,556.6484
0.0162,563.8139
0.0164,556.6484
0.0166,556.6484
0.0168,556.6484
0.0170,557.8442
0.0172,563.8139
0.0174,557.8442
0.0176,555.4525
0.0178,557.8442
0.0180,557.8442
0.0182,563.8139
0.0184,557.8442
0.0186,555.4525
0.0188,557.8442
0.0190,557.8442
0.0192,563.8139
0.0194,556.6484
0.0196,556.6484
0.0198,557.8442
0.0200,557.8442
0.0202,563.8139
0.0204,557.8442
0.0206,556.6484
0.0208,557.8442
0.0210,556.6484
0.0212,563.8139
0.0214,557.8442
0.0216,556.6484
0.0218,557.8442
0.0220,557.8442
0.0222,563.8139
0.0224,557.8442
0.0226,556.6484
