Time (s),USB Avg Power (mW)
0.0000,558.5033
0.0002,565.6812
0.0004,557.3062
0.0006,559.7004
0.0008,558.5033
0.0010,558.5033
0.0012,564.4841
0.0014,558.5033
0.0016,558.5033
0.0018,558.5033
0.0020,558.5033
0.0022,564.4841
0.0024,558.5033
0.0026,557.3062
0.0028,558.5033
0.0030,558.5033
0.0032,564.4841
0.0034,558.5033
0.0036,558.5033
0.0038,558.5033
0.0040,558.5033
0.0042,564.4841
0.0044,558.5033
0.0046,558.5033
0.0048,558.5033
0.0050,557.3062
0.0052,564.4841
0.0054,558.5033
0.0056,558.5033
0.0058,558.5033
0.0060,558.5033
0.0062,565.6812
0.0064,558.5033
0.0066,558.5033
0.0068,558.5033
0.0070,559.7004
0.0072,564.4841
0.0074,558.5033
0.0076,558.5033
0.0078,558.5033
0.0080,558.5033
0.0082,564.4841
0.0084,557.3062
0.0086,559.7004
0.0088,558.5033
0.0090,558.5033
0.0092,574.0513
0.0094,548.936
0.0096,559.7004
0.0098,558.5033
0.0100,558.5033
0.0102,564.4841
0.0104,558.5033
0.0106,558.5033
0.0108,558.5033
0.0110,558.5033
0.0112,563.2869
0.0114,558.5033
0.0116,558.5033
0.0118,557.3062
0.0120,557.3062
0.0122,564.4841
0.0124,558.5033
0.0126,558.5033
0.0128,558.5033
0.0130,558.5033
0.0132,564.4841
0.0134,558.5033
0.0136,558.5033
0.0138,558.5033
0.0140,557.3062
0.0142,564.4841
0.0144,558.5033
0.0146,559.7004
0.0148,557.3062
0.0150,558.5033
0.0152,564.4841
0.0154,558.5033
0.0156,558.5033
0.0158,559.7004
0.0160,558.5033
0.0162,564.4841
0.0164,558.5033
0.0166,559.7004
0.0168,558.5033
0.0170,558.5033
0.0172,564.4841
0.0174,557.3062
0.0176,558.5033
0.0178,558.5033
0.0180,558.5033
0.0182,564.4841
0.0184,558.5033
0.0186,558.5033
0.0188,558.5033
0.0190,558.5033
0.0192,564.4841
0.0194,558.5033
0.0196,559.7004
0.0198,558.5033
0.0200,559.7004
0.0202,563.2869
0.0204,557.3062
0.0206,558.5033
0.0208,558.5033
0.0210,557.3062
0.0212,564.4841
0.0214,557.3062
0.0216,558.5033
0.0218,558.5033
0.0220,558.5033
0.0222,564.4841
0.0224,558.5033
0.0226,558.5033
0.0228,557.3062
0.0230,559.7004
0.0232,564.4841
0.0234,558.5033
0.0236,558.5033
0.0238,558.5033
0.0240,559.7004
0.0242,563.2869
0.0244,558.5033
0.0246,557.3062
0.0248,557.3062
0.0250,558.5033
0.0252,563.2869
0.0254,558.5033
0.0256,559.7004
0.0258,559.7004
0.0260,559.7004
0.0262,563.2869
0.0264,558.5033
0.0266,558.5033
0.0268,558.5033
0.0270,557.3062
0.0272,574.0513
0.0274,548.936
0.0276,558.5033
0.0278,558.5033
0.0280,559.7004
0.0282,563.2869
0.0284,558.5033
0.0286,559.7004
0.0288,558.5033
0.0290,559.7004
0.0292,563.2869
0.0294,558.5033
0.0296,557.3062
0.0298,558.5033
0.0300,558.5033
0.0302,563.2869
0.0304,557.3062
0.0306,558.5033
0.0308,558.5033
0.0310,558.5033
0.0312,563.2869
0.0314,558.5033
0.0316,558.5033
0.0318,558.5033
0.0320,559.7004
0.0322,563.2869
0.0324,558.5033
0.0326,558.5033
0.0328,558.5033
0.0330,558.5033
0.0332,563.2869
0.0334,558.5033
0.0336,558.5033
0.0338,558.5033
0.0340,558.5033
0.0342,563.2869
0.0344,558.5033
0.0346,558.5033
0.0348,557.3062
0.0350,558.5033
0.0352,562.0898
0.0354,558.5033
0.0356,558.5033
0.0358,557.3062
0.0360,558.5033
0.0362,562.0898
0.0364,558.5033
0.0366,559.7004
0.0368,558.5033
0.0370,557.3062
0.0372,562.0898
0.0374,558.5033
0.0376,558.5033
0.0378,558.5033
0.0380,557.3062
0.0382,562.0898
0.0384,559.7004
0.0386,558.5033
0.0388,557.3062
0.0390,558.5033
0.0392,562.0898
0.0394,557.3062
0.0396,558.5033
0.0398,559.7004
0.0400,558.5033
0.0402,562.0898
0.0404,558.5033
0.0406,557.3062
0.0408,558.5033
0.0410,558.5033
0.0412,562.0898
0.0414,558.5033
0.0416,559.7004
0.0418,557.3062
0.0420,558.5033
0.0422,563.2869
0.0424,558.5033
0.0426,558.5033
0.0428,559.7004
0.0430,557.3062
0.0432,563.2869
0.0434,557.3062
0.0436,558.5033
0.0438,557.3062
0.0440,558.5033
0.0442,560.8926
0.0444,558.5033
0.0446,558.5033
0.0448,558.5033
0.0450,558.5033
0.0452,574.0513
0.0454,547.7388
0.0456,559.7004
0.0458,558.5033
0.0460,559.7004
0.0462,563.2869
0.0464,558.5033
0.0466,558.5033
0.0468,558.5033
0.0470,558.5033
0.0472,562.0898
0.0474,558.5033
0.0476,558.5033
0.0478,558.5033
0.0480,559.7004
0.0482,560.8926
0.0484,581.2243
0.0486,558.5033
0.0488,558.5033
0.0490,557.3062
0.0492,562.0898
0.0494,558.5033
0.0496,558.5033
0.0498,558.5033
0.0500,558.5033
0.0502,562.0898
0.0504,575.2484
0.0506,558.5033
0.0508,557.3062
0.0510,558.5033
0.0512,562.0898
0.0514,558.5033
0.0516,558.5033
0.0518,557.3062
0.0520,559.7004
0.0522,560.8926
0.0524,558.5033
0.0526,558.5033
0.0528,558.5033
0.0530,559.7004
0.0532,562.0898
0.0534,559.7004
0.0536,559.7004
0.0538,558.5033
0.0540,559.7004
0.0542,560.8926
0.0544,558.5033
0.0546,558.5033
0.0548,558.5033
0.0550,558.5033
0.0552,560.8926
0.0554,558.5033
0.0556,557.3062
0.0558,558.5033
0.0560,558.5033
0.0562,560.8926
0.0564,557.3062
0.0566,558.5033
0.0568,558.5033
0.0570,558.5033
0.0572,560.8926
0.0574,559.7004
0.0576,558.5033
0.0578,557.3062
0.0580,558.5033
0.0582,560.8926
0.0584,559.7004
0.0586,558.5033
0.0588,559.7004
