Time (s),USB Avg Power (mW)
0.0000,544.9927
0.0002,546.1635
0.0004,544.9927
0.0006,544.9927
0.0008,553.1783
0.0010,546.1635
0.0012,544.9927
0.0014,546.1635
0.0016,544.9927
0.0018,553.1783
0.0020,546.1635
0.0022,546.1635
0.0024,544.9927
0.0026,544.9927
0.0028,553.1783
0.0030,546.1635
0.0032,546.1635
0.0034,546.1635
0.0036,544.9927
0.0038,553.1783
0.0040,546.1635
0.0042,546.1635
0.0044,544.9927
0.0046,546.1635
0.0048,553.1783
0.0050,546.1635
0.0052,546.1635
0.0054,544.9927
0.0056,546.1635
0.0058,553.1783
0.0060,546.1635
0.0062,547.3342
0.0064,546.1635
0.0066,546.1635
0.0068,552.0123
0.0070,546.1635
0.0072,546.1635
0.0074,544.9927
0.0076,544.9927
0.0078,552.0123
0.0080,546.1635
0.0082,546.1635
0.0084,546.1635
0.0086,544.9927
0.0088,552.0123
0.0090,546.1635
0.0092,555.5197
0.0094,535.6364
0.0096,544.9927
0.0098,568.3835
0.0100,559.0272
0.0102,546.1635
0.0104,544.9927
0.0106,544.9927
0.0108,552.0123
0.0110,546.1635
0.0112,546.1635
0.0114,544.9927
0.0116,544.9927
0.0118,553.1783
0.0120,546.1635
0.0122,547.3342
0.0124,544.9927
0.0126,544.9927
0.0128,552.0123
0.0130,547.3342
0.0132,546.1635
0.0134,546.1635
0.0136,546.1635
0.0138,553.1783
0.0140,546.1635
0.0142,546.1635
0.0144,544.9927
0.0146,544.9927
0.0148,552.0123
0.0150,547.3342
0.0152,546.1635
0.0154,546.1635
0.0156,544.9927
0.0158,552.0123
0.0160,546.1635
0.0162,546.1635
0.0164,544.9927
0.0166,546.1635
0.0168,552.0123
0.0170,544.9927
0.0172,546.1635
0.0174,544.9927
0.0176,546.1635
0.0178,552.0123
0.0180,544.9927
0.0182,544.9927
0.0184,544.9927
0.0186,546.1635
0.0188,553.1783
0.0190,544.9927
0.0192,546.1635
0.0194,544.9927
0.0196,544.9927
0.0198,553.1783
0.0200,544.9927
0.0202,546.1635
0.0204,544.9927
0.0206,546.1635
0.0208,552.0123
0.0210,546.1635
0.0212,546.1635
0.0214,546.1635
0.0216,544.9927
0.0218,552.0123
0.0220,546.1635
0.0222,544.9927
0.0224,544.9927
0.0226,546.1635
0.0228,552.0123
0.0230,547.3342
0.0232,544.9927
0.0234,546.1635
0.0236,546.1635
0.0238,554.349
0.0240,546.1635
0.0242,546.1635
0.0244,544.9927
0.0246,544.9927
0.0248,552.0123
0.0250,546.1635
0.0252,546.1635
0.0254,546.1635
0.0256,544.9927
0.0258,553.1783
0.0260,546.1635
0.0262,547.3342
0.0264,546.1635
0.0266,546.1635
0.0268,553.1783
0.0270,546.1635
0.0272,555.5197
0.0274,535.6364
0.0276,544.9927
0.0278,552.0123
0.0280,546.1635
0.0282,546.1635
0.0284,544.9927
0.0286,546.1635
0.0288,553.1783
0.0290,546.1635
0.0292,546.1635
0.0294,546.1635
0.0296,546.1635
0.0298,553.1783
0.0300,546.1635
0.0302,546.1635
0.0304,546.1635
0.0306,544.9927
0.0308,552.0123
0.0310,544.9927
0.0312,546.1635
0.0314,546.1635
