Time (s),USB Avg Power (mW)
0.0000,559.6103
0.0002,559.6103
0.0004,561.9991
0.0006,559.6103
0.0008,557.2165
0.0010,558.4134
0.0012,559.6103
0.0014,561.9991
0.0016,559.6103
0.0018,558.4134
0.0020,559.6103
0.0022,560.8071
0.0024,561.9991
0.0026,559.6103
0.0028,557.2165
0.0030,558.4134
0.0032,558.4134
0.0034,563.196
0.0036,558.4134
0.0038,557.2165
0.0040,558.4134
0.0042,559.6103
0.0044,561.9991
0.0046,559.6103
0.0048,557.2165
0.0050,558.4134
0.0052,559.6103
0.0054,561.9991
0.0056,558.4134
0.0058,558.4134
0.0060,558.4134
0.0062,559.6103
0.0064,561.9991
0.0066,559.6103
0.0068,557.2165
0.0070,558.4134
0.0072,559.6103
0.0074,561.9991
0.0076,558.4134
0.0078,558.4134
0.0080,558.4134
0.0082,559.6103
0.0084,561.9991
0.0086,559.6103
0.0088,557.2165
0.0090,557.2165
0.0092,569.1756
0.0094,552.4338
0.0096,558.4134
0.0098,557.2165
0.0100,558.4134
0.0102,559.6103
0.0104,584.7205
0.0106,559.6103
0.0108,557.2165
0.0110,558.4134
0.0112,559.6103
0.0114,561.9991
0.0116,558.4134
0.0118,557.2165
0.0120,559.6103
0.0122,558.4134
0.0124,563.196
0.0126,558.4134
0.0128,557.2165
0.0130,558.4134
0.0132,559.6103
0.0134,561.9991
0.0136,558.4134
0.0138,558.4134
0.0140,558.4134
0.0142,559.6103
0.0144,563.196
0.0146,558.4134
0.0148,558.4134
0.0150,558.4134
0.0152,559.6103
0.0154,561.9991
0.0156,558.4134
0.0158,557.2165
0.0160,558.4134
0.0162,559.6103
0.0164,563.196
0.0166,559.6103
0.0168,557.2165
0.0170,558.4134
0.0172,559.6103
0.0174,563.196
0.0176,558.4134
0.0178,557.2165
0.0180,558.4134
0.0182,559.6103
0.0184,563.196
0.0186,558.4134
0.0188,557.2165
0.0190,558.4134
0.0192,558.4134
0.0194,587.1094
0.0196,558.4134
0.0198,557.2165
0.0200,559.6103
0.0202,559.6103
0.0204,561.9991
0.0206,559.6103
0.0208,557.2165
0.0210,558.4134
0.0212,559.6103
0.0214,563.196
0.0216,559.6103
0.0218,558.4134
0.0220,558.4134
0.0222,559.6103
0.0224,563.196
0.0226,559.6103
0.0228,556.0197
0.0230,559.6103
0.0232,558.4134
0.0234,585.9174
0.0236,560.8071
0.0238,558.4134
0.0240,558.4134
0.0242,558.4134
0.0244,563.196
0.0246,558.4134
0.0248,557.2165
0.0250,558.4134
0.0252,558.4134
0.0254,563.196
0.0256,558.4134
0.0258,557.2165
0.0260,558.4134
0.0262,558.4134
0.0264,561.9991
0.0266,558.4134
0.0268,558.4134
0.0270,558.4134
0.0272,567.9787
0.0274,553.6307
0.0276,558.4134
0.0278,557.2165
0.0280,558.4134
0.0282,558.4134
0.0284,564.3929
0.0286,557.2165
0.0288,557.2165
0.0290,558.4134
0.0292,558.4134
0.0294,564.3929
0.0296,559.6103
0.0298,558.4134
0.0300,557.2165
0.0302,558.4134
0.0304,564.3929
0.0306,558.4134
0.0308,558.4134
0.0310,558.4134
0.0312,558.4134
0.0314,564.3929
0.0316,558.4134
0.0318,557.2165
0.0320,559.6103
0.0322,558.4134
0.0324,563.196
0.0326,558.4134
0.0328,557.2165
0.0330,558.4134
0.0332,558.4134
0.0334,564.3929
0.0336,559.6103
0.0338,557.2165
0.0340,557.2165
0.0342,558.4134
0.0344,564.3929
0.0346,558.4134
0.0348,559.6103
0.0350,567.9787
0.0352,561.9991
0.0354,567.9787
0.0356,559.6103
0.0358,557.2165
0.0360,558.4134
0.0362,558.4134
0.0364,564.3929
0.0366,559.6103
0.0368,557.2165
0.0370,558.4134
0.0372,558.4134
0.0374,564.3929
0.0376,558.4134
0.0378,558.4134
0.0380,559.6103
0.0382,558.4134
0.0384,564.3929
0.0386,558.4134
0.0388,557.2165
0.0390,558.4134
0.0392,559.6103
0.0394,564.3929
0.0396,559.6103
0.0398,558.4134
0.0400,559.6103
0.0402,558.4134
0.0404,564.3929
0.0406,559.6103
0.0408,557.2165
0.0410,558.4134
0.0412,560.8071
0.0414,564.3929
0.0416,558.4134
0.0418,557.2165
0.0420,558.4134
0.0422,559.6103
0.0424,565.5898
0.0426,559.6103
0.0428,557.2165
0.0430,558.4134
0.0432,558.4134
0.0434,564.3929
0.0436,558.4134
0.0438,558.4134
0.0440,558.4134
0.0442,559.6103
0.0444,563.196
0.0446,559.6103
0.0448,557.2165
0.0450,558.4134
0.0452,567.9787
0.0454,554.8276
0.0456,558.4134
0.0458,557.2165
0.0460,558.4134
0.0462,559.6103
0.0464,564.3929
0.0466,559.6103
0.0468,557.2165
0.0470,572.7614
0.0472,547.6512
0.0474,607.4369
0.0476,668.4243
0.0478,822.6761
0.0480,909.9658
0.0482,905.1831
0.0484,911.1577
0.0486,905.1831
0.0488,902.7893
0.0490,905.1831
0.0492,905.1831
0.0494,908.7689
0.0496,900.4005
0.0498,896.8098
0.0500,894.4209
0.0502,895.6177
0.0504,900.4005
0.0506,895.6177
0.0508,894.4209
0.0510,894.4209
0.0512,895.6177
0.0514,901.5925
0.0516,895.6177
0.0518,884.8556
0.0520,857.3516
0.0522,648.0968
0.0524,448.4025
0.0526,450.7962
0.0528,561.9991
0.0530,559.6103
0.0532,559.6103
0.0534,564.3929
0.0536,558.4134
0.0538,557.2165
0.0540,559.6103
0.0542,559.6103
0.0544,564.3929
0.0546,559.6103
0.0548,557.2165
0.0550,558.4134
0.0552,558.4134
0.0554,565.5898
0.0556,558.4134
0.0558,558.4134
0.0560,558.4134
0.0562,559.6103
0.0564,565.5898
0.0566,558.4134
0.0568,557.2165
0.0570,558.4134
0.0572,559.6103
0.0574,564.3929
0.0576,559.6103
0.0578,557.2165
0.0580,558.4134
0.0582,558.4134
0.0584,564.3929
0.0586,558.4134
0.0588,558.4134
0.0590,558.4134
0.0592,559.6103
0.0594,565.5898
0.0596,559.6103
0.0598,556.0197
0.0600,559.6103
0.0602,558.4134
0.0604,565.5898
0.0606,558.4134
0.0608,558.4134
0.0610,558.4134
0.0612,559.6103
0.0614,564.3929
0.0616,559.6103
0.0618,557.2165
0.0620,559.6103
0.0622,558.4134
0.0624,565.5898
0.0626,558.4134
0.0628,558.4134
0.0630,558.4134
0.0632,567.9787
0.0634,556.0197
0.0636,559.6103
0.0638,558.4134
0.0640,558.4134
0.0642,558.4134
0.0644,565.5898
0.0646,558.4134
0.0648,557.2165
0.0650,558.4134
0.0652,559.6103
0.0654,565.5898
0.0656,559.6103
0.0658,557.2165
0.0660,558.4134
0.0662,558.4134
0.0664,565.5898
0.0666,557.2165
0.0668,558.4134
0.0670,558.4134
0.0672,559.6103
0.0674,564.3929
0.0676,558.4134
0.0678,557.2165
0.0680,558.4134
0.0682,557.2165
0.0684,564.3929
0.0686,559.6103
0.0688,557.2165
0.0690,558.4134
0.0692,558.4134
0.0694,564.3929
0.0696,559.6103
0.0698,557.2165
0.0700,557.2165
0.0702,558.4134
0.0704,565.5898
0.0706,559.6103
0.0708,557.2165
0.0710,558.4134
0.0712,560.8071
0.0714,565.5898
0.0716,558.4134
0.0718,557.2165
0.0720,558.4134
0.0722,558.4134
0.0724,565.5898
0.0726,558.4134
0.0728,558.4134
0.0730,558.4134
0.0732,558.4134
0.0734,564.3929
0.0736,558.4134
0.0738,557.2165
0.0740,557.2165
0.0742,558.4134
0.0744,565.5898
0.0746,558.4134
0.0748,557.2165
0.0750,563.196
0.0752,567.9787
0.0754,565.5898
0.0756,558.4134
0.0758,559.6103
0.0760,558.4134
0.0762,558.4134
0.0764,565.5898
0.0766,558.4134
0.0768,557.2165
0.0770,558.4134
0.0772,558.4134
0.0774,565.5898
0.0776,559.6103
0.0778,557.2165
0.0780,558.4134
0.0782,558.4134
0.0784,565.5898
0.0786,558.4134
0.0788,558.4134
0.0790,558.4134
0.0792,558.4134
0.0794,566.7818
0.0796,558.4134
0.0798,558.4134
0.0800,558.4134
0.0802,558.4134
0.0804,564.3929
0.0806,558.4134
0.0808,557.2165
0.0810,559.6103
0.0812,566.7818
0.0814,557.2165
0.0816,558.4134
0.0818,557.2165
0.0820,559.6103
0.0822,558.4134
0.0824,565.5898
0.0826,558.4134
0.0828,558.4134
0.0830,558.4134
0.0832,559.6103
0.0834,565.5898
0.0836,559.6103
0.0838,557.2165
0.0840,558.4134
0.0842,558.4134
0.0844,564.3929
0.0846,558.4134
0.0848,557.2165
0.0850,558.4134
0.0852,558.4134
0.0854,564.3929
0.0856,558.4134
0.0858,557.2165
0.0860,559.6103
0.0862,558.4134
0.0864,565.5898
0.0866,558.4134
0.0868,557.2165
0.0870,558.4134
0.0872,558.4134
0.0874,565.5898
0.0876,557.2165
0.0878,557.2165
0.0880,559.6103
0.0882,558.4134
0.0884,565.5898
0.0886,558.4134
0.0888,557.2165
0.0890,558.4134
0.0892,558.4134
0.0894,565.5898
0.0896,558.4134
0.0898,557.2165
0.0900,558.4134
0.0902,559.6103
0.0904,564.3929
0.0906,558.4134
0.0908,558.4134
0.0910,558.4134
0.0912,558.4134
0.0914,564.3929
0.0916,558.4134
0.0918,557.2165
0.0920,557.2165
0.0922,558.4134
0.0924,565.5898
0.0926,558.4134
0.0928,557.2165
0.0930,558.4134
0.0932,558.4134
0.0934,564.3929
0.0936,558.4134
0.0938,556.0197
0.0940,558.4134
0.0942,558.4134
0.0944,565.5898
0.0946,558.4134
0.0948,558.4134
0.0950,558.4134
0.0952,559.6103
0.0954,565.5898
0.0956,559.6103
0.0958,558.4134
0.0960,558.4134
0.0962,558.4134
0.0964,565.5898
0.0966,558.4134
0.0968,558.4134
0.0970,558.4134
0.0972,559.6103
0.0974,564.3929
0.0976,559.6103
0.0978,557.2165
0.0980,558.4134
0.0982,559.6103
0.0984,564.3929
0.0986,558.4134
0.0988,557.2165
0.0990,558.4134
0.0992,567.9787
0.0994,556.0197
0.0996,558.4134
0.0998,556.0197
0.1000,558.4134
0.1002,559.6103
0.1004,565.5898
0.1006,559.6103
0.1008,557.2165
0.1010,559.6103
0.1012,558.4134
0.1014,565.5898
0.1016,559.6103
0.1018,556.0197
0.1020,559.6103
0.1022,558.4134
0.1024,566.7818
0.1026,558.4134
0.1028,558.4134
0.1030,558.4134
0.1032,558.4134
0.1034,565.5898
0.1036,558.4134
0.1038,557.2165
0.1040,558.4134
0.1042,558.4134
0.1044,566.7818
0.1046,558.4134
0.1048,557.2165
0.1050,558.4134
0.1052,558.4134
0.1054,564.3929
0.1056,558.4134
0.1058,556.0197
0.1060,557.2165
0.1062,558.4134
0.1064,565.5898
0.1066,557.2165
0.1068,557.2165
0.1070,558.4134
0.1072,559.6103
0.1074,565.5898
0.1076,559.6103
0.1078,557.2165
0.1080,558.4134
0.1082,558.4134
0.1084,565.5898
0.1086,559.6103
0.1088,557.2165
0.1090,558.4134
0.1092,558.4134
0.1094,564.3929
0.1096,558.4134
0.1098,557.2165
0.1100,559.6103
0.1102,557.2165
0.1104,551.2369
0.1106,559.6103
0.1108,557.2165
0.1110,558.4134
0.1112,558.4134
0.1114,565.5898
0.1116,558.4134
0.1118,558.4134
0.1120,558.4134
0.1122,558.4134
0.1124,566.7818
0.1126,558.4134
0.1128,557.2165
0.1130,558.4134
0.1132,558.4134
0.1134,564.3929
0.1136,558.4134
0.1138,557.2165
0.1140,558.4134
0.1142,558.4134
0.1144,565.5898
0.1146,558.4134
0.1148,558.4134
0.1150,558.4134
0.1152,558.4134
0.1154,564.3929
0.1156,558.4134
0.1158,557.2165
0.1160,559.6103
0.1162,559.6103
0.1164,565.5898
0.1166,558.4134
0.1168,557.2165
0.1170,558.4134
0.1172,567.9787
0.1174,556.0197
0.1176,558.4134
0.1178,557.2165
0.1180,559.6103
0.1182,557.2165
0.1184,566.7818
0.1186,558.4134
0.1188,557.2165
0.1190,558.4134
0.1192,559.6103
0.1194,582.3267
0.1196,558.4134
0.1198,557.2165
0.1200,559.6103
0.1202,558.4134
0.1204,565.5898
0.1206,559.6103
0.1208,557.2165
0.1210,559.6103
0.1212,558.4134
0.1214,564.3929
0.1216,558.4134
0.1218,557.2165
0.1220,558.4134
0.1222,559.6103
0.1224,565.5898
0.1226,558.4134
0.1228,557.2165
0.1230,558.4134
0.1232,559.6103
0.1234,565.5898
0.1236,558.4134
0.1238,557.2165
0.1240,558.4134
0.1242,558.4134
0.1244,566.7818
0.1246,558.4134
0.1248,559.6103
0.1250,567.9787
0.1252,560.8071
0.1254,567.9787
0.1256,558.4134
0.1258,557.2165
0.1260,559.6103
0.1262,558.4134
0.1264,565.5898
0.1266,558.4134
0.1268,557.2165
0.1270,559.6103
0.1272,558.4134
0.1274,564.3929
0.1276,559.6103
0.1278,557.2165
0.1280,558.4134
0.1282,558.4134
0.1284,565.5898
0.1286,557.2165
0.1288,556.0197
0.1290,558.4134
0.1292,558.4134
0.1294,565.5898
0.1296,558.4134
0.1298,557.2165
0.1300,558.4134
0.1302,558.4134
0.1304,565.5898
0.1306,558.4134
0.1308,557.2165
0.1310,558.4134
0.1312,558.4134
0.1314,565.5898
0.1316,558.4134
0.1318,557.2165
0.1320,559.6103
0.1322,558.4134
0.1324,565.5898
0.1326,558.4134
0.1328,557.2165
0.1330,558.4134
0.1332,557.2165
0.1334,564.3929
0.1336,558.4134
0.1338,556.0197
0.1340,558.4134
0.1342,558.4134
0.1344,564.3929
0.1346,558.4134
0.1348,557.2165
0.1350,559.6103
0.1352,567.9787
0.1354,554.8276
0.1356,559.6103
0.1358,556.0197
0.1360,558.4134
0.1362,559.6103
0.1364,565.5898
0.1366,558.4134
0.1368,557.2165
0.1370,558.4134
0.1372,558.4134
0.1374,565.5898
0.1376,558.4134
0.1378,556.0197
0.1380,559.6103
0.1382,558.4134
0.1384,566.7818
0.1386,558.4134
0.1388,557.2165
0.1390,558.4134
0.1392,558.4134
0.1394,565.5898
0.1396,558.4134
0.1398,557.2165
0.1400,558.4134
0.1402,558.4134
0.1404,565.5898
0.1406,558.4134
0.1408,557.2165
0.1410,559.6103
0.1412,558.4134
0.1414,565.5898
0.1416,558.4134
0.1418,557.2165
0.1420,558.4134
0.1422,558.4134
0.1424,565.5898
0.1426,558.4134
0.1428,557.2165
0.1430,559.6103
0.1432,559.6103
0.1434,565.5898
0.1436,558.4134
0.1438,556.0197
0.1440,558.4134
0.1442,558.4134
0.1444,566.7818
0.1446,558.4134
0.1448,557.2165
0.1450,558.4134
0.1452,557.2165
0.1454,565.5898
0.1456,558.4134
0.1458,557.2165
0.1460,558.4134
0.1462,558.4134
0.1464,565.5898
0.1466,558.4134
0.1468,557.2165
0.1470,559.6103
0.1472,558.4134
0.1474,565.5898
0.1476,558.4134
0.1478,556.0197
0.1480,558.4134
0.1482,559.6103
0.1484,565.5898
0.1486,558.4134
0.1488,557.2165
0.1490,559.6103
0.1492,558.4134
0.1494,565.5898
0.1496,558.4134
0.1498,558.4134
0.1500,559.6103
0.1502,557.2165
0.1504,565.5898
0.1506,558.4134
0.1508,557.2165
0.1510,559.6103
0.1512,558.4134
0.1514,565.5898
0.1516,558.4134
0.1518,557.2165
0.1520,558.4134
0.1522,558.4134
0.1524,565.5898
0.1526,558.4134
0.1528,557.2165
0.1530,558.4134
0.1532,565.5898
0.1534,556.0197
0.1536,558.4134
0.1538,558.4134
0.1540,558.4134
0.1542,558.4134
0.1544,564.3929
0.1546,558.4134
0.1548,557.2165
0.1550,559.6103
0.1552,557.2165
0.1554,565.5898
0.1556,558.4134
0.1558,557.2165
0.1560,558.4134
0.1562,558.4134
0.1564,565.5898
0.1566,558.4134
0.1568,557.2165
0.1570,559.6103
0.1572,558.4134
0.1574,566.7818
0.1576,558.4134
0.1578,557.2165
0.1580,559.6103
0.1582,559.6103
0.1584,565.5898
0.1586,557.2165
0.1588,557.2165
0.1590,559.6103
0.1592,558.4134
0.1594,566.7818
0.1596,557.2165
0.1598,557.2165
0.1600,559.6103
0.1602,558.4134
0.1604,565.5898
0.1606,558.4134
0.1608,557.2165
0.1610,559.6103
0.1612,558.4134
0.1614,565.5898
0.1616,558.4134
0.1618,557.2165
0.1620,559.6103
0.1622,559.6103
0.1624,565.5898
0.1626,558.4134
0.1628,557.2165
0.1630,559.6103
0.1632,558.4134
0.1634,565.5898
0.1636,558.4134
0.1638,556.0197
0.1640,558.4134
0.1642,558.4134
0.1644,565.5898
0.1646,559.6103
0.1648,557.2165
0.1650,559.6103
0.1652,558.4134
0.1654,565.5898
0.1656,558.4134
0.1658,557.2165
0.1660,558.4134
0.1662,559.6103
0.1664,564.3929
0.1666,557.2165
0.1668,557.2165
0.1670,559.6103
0.1672,558.4134
0.1674,566.7818
0.1676,557.2165
0.1678,556.0197
0.1680,558.4134
0.1682,558.4134
0.1684,565.5898
0.1686,558.4134
0.1688,557.2165
0.1690,560.8071
0.1692,558.4134
0.1694,565.5898
0.1696,557.2165
0.1698,557.2165
0.1700,559.6103
0.1702,558.4134
0.1704,564.3929
0.1706,558.4134
0.1708,556.0197
0.1710,559.6103
0.1712,566.7818
0.1714,557.2165
0.1716,558.4134
0.1718,557.2165
0.1720,558.4134
0.1722,558.4134
0.1724,565.5898
0.1726,558.4134
0.1728,557.2165
0.1730,558.4134
0.1732,558.4134
0.1734,564.3929
0.1736,558.4134
0.1738,556.0197
0.1740,559.6103
0.1742,558.4134
0.1744,565.5898
0.1746,558.4134
0.1748,557.2165
0.1750,558.4134
0.1752,558.4134
0.1754,566.7818
0.1756,558.4134
0.1758,558.4134
0.1760,559.6103
0.1762,558.4134
0.1764,565.5898
0.1766,559.6103
0.1768,557.2165
0.1770,559.6103
0.1772,558.4134
0.1774,565.5898
0.1776,558.4134
0.1778,557.2165
0.1780,558.4134
0.1782,559.6103
0.1784,566.7818
0.1786,558.4134
0.1788,558.4134
0.1790,559.6103
0.1792,558.4134
0.1794,565.5898
0.1796,558.4134
0.1798,556.0197
0.1800,558.4134
0.1802,558.4134
0.1804,565.5898
0.1806,558.4134
0.1808,558.4134
0.1810,559.6103
0.1812,559.6103
0.1814,566.7818
0.1816,558.4134
0.1818,557.2165
0.1820,559.6103
0.1822,558.4134
0.1824,565.5898
0.1826,558.4134
0.1828,556.0197
0.1830,559.6103
0.1832,558.4134
0.1834,565.5898
0.1836,558.4134
0.1838,558.4134
0.1840,558.4134
0.1842,558.4134
0.1844,565.5898
0.1846,558.4134
0.1848,558.4134
0.1850,569.1756
0.1852,560.8071
0.1854,564.3929
0.1856,559.6103
0.1858,557.2165
0.1860,558.4134
0.1862,558.4134
0.1864,565.5898
0.1866,560.8071
0.1868,557.2165
0.1870,559.6103
0.1872,558.4134
0.1874,565.5898
0.1876,557.2165
0.1878,557.2165
0.1880,558.4134
0.1882,557.2165
0.1884,565.5898
0.1886,559.6103
0.1888,557.2165
0.1890,559.6103
0.1892,566.7818
0.1894,557.2165
0.1896,558.4134
0.1898,557.2165
0.1900,558.4134
0.1902,559.6103
0.1904,564.3929
0.1906,559.6103
0.1908,557.2165
0.1910,560.8071
0.1912,557.2165
0.1914,565.5898
0.1916,558.4134
0.1918,557.2165
0.1920,558.4134
0.1922,558.4134
0.1924,565.5898
0.1926,558.4134
0.1928,558.4134
0.1930,559.6103
0.1932,558.4134
0.1934,565.5898
0.1936,558.4134
0.1938,557.2165
0.1940,559.6103
0.1942,558.4134
0.1944,564.3929
0.1946,558.4134
0.1948,557.2165
0.1950,558.4134
0.1952,558.4134
0.1954,566.7818
0.1956,558.4134
0.1958,557.2165
0.1960,558.4134
0.1962,558.4134
0.1964,565.5898
0.1966,559.6103
0.1968,557.2165
0.1970,559.6103
0.1972,558.4134
0.1974,565.5898
0.1976,558.4134
0.1978,556.0197
0.1980,559.6103
0.1982,557.2165
0.1984,565.5898
0.1986,559.6103
0.1988,558.4134
0.1990,559.6103
0.1992,558.4134
0.1994,565.5898
0.1996,558.4134
0.1998,556.0197
0.2000,558.4134
0.2002,559.6103
0.2004,564.3929
0.2006,559.6103
0.2008,557.2165
0.2010,559.6103
0.2012,558.4134
0.2014,565.5898
0.2016,558.4134
0.2018,557.2165
0.2020,559.6103
0.2022,558.4134
0.2024,565.5898
0.2026,559.6103
0.2028,556.0197
0.2030,559.6103
0.2032,558.4134
0.2034,566.7818
0.2036,559.6103
0.2038,558.4134
0.2040,559.6103
0.2042,559.6103
0.2044,564.3929
0.2046,558.4134
0.2048,558.4134
0.2050,559.6103
0.2052,558.4134
0.2054,565.5898
0.2056,558.4134
0.2058,557.2165
0.2060,559.6103
0.2062,559.6103
0.2064,564.3929
0.2066,558.4134
0.2068,557.2165
0.2070,558.4134
0.2072,566.7818
0.2074,557.2165
0.2076,558.4134
0.2078,557.2165
0.2080,558.4134
0.2082,558.4134
0.2084,565.5898
0.2086,559.6103
0.2088,557.2165
0.2090,559.6103
0.2092,558.4134
0.2094,565.5898
0.2096,558.4134
0.2098,557.2165
0.2100,558.4134
0.2102,558.4134
0.2104,588.3063
0.2106,559.6103
0.2108,558.4134
0.2110,558.4134
0.2112,558.4134
0.2114,565.5898
0.2116,559.6103
0.2118,557.2165
0.2120,559.6103
0.2122,557.2165
0.2124,565.5898
0.2126,559.6103
0.2128,557.2165
0.2130,558.4134
0.2132,558.4134
0.2134,565.5898
0.2136,558.4134
0.2138,557.2165
0.2140,559.6103
0.2142,558.4134
0.2144,564.3929
0.2146,560.8071
0.2148,558.4134
0.2150,569.1756
0.2152,561.9991
0.2154,526.1268
0.2156,556.0197
0.2158,558.4134
0.2160,559.6103
0.2162,559.6103
0.2164,564.3929
0.2166,558.4134
0.2168,557.2165
0.2170,559.6103
0.2172,558.4134
0.2174,565.5898
0.2176,559.6103
0.2178,557.2165
0.2180,558.4134
0.2182,558.4134
0.2184,565.5898
0.2186,558.4134
0.2188,557.2165
0.2190,559.6103
0.2192,558.4134
0.2194,589.5031
0.2196,559.6103
0.2198,557.2165
0.2200,558.4134
0.2202,558.4134
0.2204,565.5898
0.2206,558.4134
0.2208,558.4134
0.2210,558.4134
0.2212,558.4134
0.2214,565.5898
0.2216,558.4134
0.2218,557.2165
0.2220,559.6103
0.2222,559.6103
