Time (s),USB Avg Power (mW)
0.0000,555.4708
0.0002,556.6579
0.0004,563.8047
0.0006,556.6579
0.0008,555.4708
0.0010,556.6579
0.0012,557.8499
0.0014,563.8047
0.0016,556.6579
0.0018,556.6579
0.0020,556.6579
0.0022,556.6579
0.0024,562.6128
0.0026,556.6579
0.0028,556.6579
0.0030,556.6579
0.0032,556.6579
0.0034,562.6128
0.0036,556.6579
0.0038,555.4708
0.0040,556.6579
0.0042,556.6579
0.0044,562.6128
0.0046,557.8499
0.0048,555.4708
0.0050,556.6579
0.0052,556.6579
0.0054,562.6128
0.0056,556.6579
0.0058,555.4708
0.0060,556.6579
0.0062,556.6579
0.0064,563.8047
0.0066,556.6579
0.0068,556.6579
0.0070,555.4708
0.0072,556.6579
0.0074,563.8047
0.0076,556.6579
0.0078,555.4708
0.0080,556.6579
0.0082,556.6579
0.0084,563.8047
0.0086,556.6579
0.0088,556.6579
0.0090,555.4708
0.0092,566.1838
0.0094,554.2789
0.0096,556.6579
0.0098,556.6579
0.0100,555.4708
0.0102,556.6579
0.0104,563.8047
0.0106,555.4708
0.0108,556.6579
0.0110,555.4708
0.0112,556.6579
0.0114,563.8047
0.0116,556.6579
0.0118,556.6579
0.0120,556.6579
0.0122,556.6579
0.0124,563.8047
0.0126,556.6579
0.0128,556.6579
0.0130,555.4708
0.0132,556.6579
0.0134,562.6128
0.0136,556.6579
0.0138,555.4708
0.0140,556.6579
0.0142,555.4708
0.0144,563.8047
0.0146,557.8499
0.0148,556.6579
0.0150,555.4708
0.0152,556.6579
0.0154,562.6128
0.0156,557.8499
0.0158,555.4708
0.0160,555.4708
0.0162,556.6579
0.0164,563.8047
0.0166,555.4708
0.0168,556.6579
0.0170,555.4708
0.0172,556.6579
0.0174,562.6128
0.0176,556.6579
0.0178,555.4708
0.0180,556.6579
0.0182,556.6579
0.0184,562.6128
0.0186,556.6579
0.0188,555.4708
0.0190,556.6579
0.0192,556.6579
0.0194,562.6128
0.0196,556.6579
0.0198,555.4708
0.0200,556.6579
0.0202,556.6579
0.0204,562.6128
0.0206,556.6579
0.0208,556.6579
0.0210,555.4708
0.0212,556.6579
0.0214,562.6128
0.0216,560.2338
0.0218,566.1838
0.0220,559.0418
0.0222,560.2338
0.0224,562.6128
0.0226,556.6579
0.0228,556.6579
0.0230,556.6579
0.0232,556.6579
0.0234,563.8047
0.0236,555.4708
0.0238,555.4708
0.0240,556.6579
0.0242,557.8499
0.0244,562.6128
0.0246,556.6579
0.0248,555.4708
0.0250,555.4708
0.0252,557.8499
0.0254,562.6128
0.0256,556.6579
0.0258,555.4708
0.0260,557.8499
0.0262,556.6579
0.0264,562.6128
0.0266,556.6579
0.0268,556.6579
0.0270,555.4708
0.0272,566.1838
0.0274,554.2789
0.0276,557.8499
0.0278,555.4708
0.0280,556.6579
0.0282,556.6579
0.0284,585.2357
0.0286,557.8499
0.0288,556.6579
0.0290,555.4708
0.0292,556.6579
0.0294,562.6128
0.0296,556.6579
0.0298,556.6579
0.0300,556.6579
0.0302,556.6579
0.0304,564.9968
0.0306,555.4708
0.0308,556.6579
0.0310,555.4708
0.0312,556.6579
0.0314,563.8047
0.0316,556.6579
0.0318,555.4708
0.0320,555.4708
0.0322,556.6579
0.0324,563.8047
0.0326,556.6579
0.0328,556.6579
0.0330,555.4708
0.0332,557.8499
0.0334,562.6128
0.0336,555.4708
0.0338,555.4708
0.0340,555.4708
0.0342,556.6579
0.0344,562.6128
0.0346,556.6579
0.0348,555.4708
0.0350,555.4708
0.0352,556.6579
0.0354,562.6128
0.0356,557.8499
0.0358,555.4708
0.0360,555.4708
0.0362,556.6579
0.0364,563.8047
0.0366,556.6579
0.0368,556.6579
0.0370,555.4708
0.0372,556.6579
0.0374,562.6128
0.0376,556.6579
0.0378,554.2789
0.0380,557.8499
0.0382,556.6579
0.0384,563.8047
0.0386,555.4708
0.0388,556.6579
0.0390,555.4708
0.0392,556.6579
0.0394,563.8047
0.0396,556.6579
0.0398,555.4708
0.0400,555.4708
0.0402,556.6579
0.0404,563.8047
0.0406,556.6579
0.0408,557.8499
0.0410,555.4708
0.0412,557.8499
0.0414,563.8047
0.0416,556.6579
0.0418,556.6579
0.0420,555.4708
0.0422,556.6579
0.0424,564.9968
0.0426,556.6579
0.0428,556.6579
0.0430,556.6579
0.0432,556.6579
0.0434,563.8047
0.0436,556.6579
0.0438,556.6579
0.0440,555.4708
0.0442,556.6579
0.0444,564.9968
0.0446,556.6579
0.0448,556.6579
0.0450,556.6579
0.0452,566.1838
0.0454,553.0869
0.0456,555.4708
0.0458,555.4708
0.0460,557.8499
0.0462,556.6579
0.0464,563.8047
0.0466,555.4708
0.0468,555.4708
0.0470,555.4708
0.0472,557.8499
0.0474,562.6128
0.0476,556.6579
0.0478,555.4708
0.0480,556.6579
0.0482,556.6579
0.0484,562.6128
0.0486,556.6579
0.0488,555.4708
0.0490,555.4708
0.0492,556.6579
0.0494,562.6128
0.0496,557.8499
0.0498,555.4708
0.0500,555.4708
0.0502,556.6579
0.0504,563.8047
0.0506,556.6579
0.0508,555.4708
0.0510,556.6579
0.0512,556.6579
0.0514,562.6128
0.0516,555.4708
0.0518,556.6579
0.0520,559.0418
0.0522,528.0801
0.0524,628.1022
0.0526,613.8134
0.0528,790.0428
0.0530,911.4958
0.0532,903.157
0.0534,909.1119
0.0536,905.5409
0.0538,903.157
0.0540,904.3489
0.0542,903.157
0.0544,907.9199
0.0546,905.5409
0.0548,900.7779
0.0550,890.0601
0.0552,891.252
0.0554,896.015
0.0556,891.252
0.0558,890.0601
0.0560,890.0601
0.0562,891.252
0.0564,894.823
0.0566,891.252
0.0568,890.0601
0.0570,867.4372
0.0572,693.5917
0.0574,448.3018
0.0576,441.1598
0.0578,545.9449
0.0580,555.4708
0.0582,556.6579
0.0584,563.8047
0.0586,555.4708
0.0588,556.6579
0.0590,556.6579
0.0592,556.6579
0.0594,562.6128
0.0596,556.6579
0.0598,555.4708
0.0600,555.4708
0.0602,556.6579
0.0604,542.369
0.0606,560.2338
0.0608,556.6579
0.0610,555.4708
0.0612,556.6579
0.0614,563.8047
0.0616,556.6579
0.0618,556.6579
0.0620,557.8499
0.0622,556.6579
0.0624,563.8047
0.0626,556.6579
0.0628,556.6579
0.0630,556.6579
0.0632,566.1838
0.0634,554.2789
0.0636,556.6579
0.0638,557.8499
0.0640,557.8499
0.0642,555.4708
0.0644,563.8047
0.0646,556.6579
0.0648,556.6579
0.0650,556.6579
0.0652,556.6579
0.0654,562.6128
0.0656,556.6579
0.0658,556.6579
0.0660,556.6579
0.0662,556.6579
0.0664,562.6128
0.0666,555.4708
0.0668,556.6579
0.0670,556.6579
0.0672,556.6579
0.0674,562.6128
0.0676,556.6579
0.0678,555.4708
0.0680,556.6579
0.0682,556.6579
0.0684,562.6128
0.0686,556.6579
0.0688,556.6579
0.0690,556.6579
0.0692,556.6579
0.0694,563.8047
0.0696,556.6579
0.0698,556.6579
0.0700,555.4708
0.0702,556.6579
0.0704,563.8047
0.0706,556.6579
0.0708,556.6579
0.0710,555.4708
0.0712,557.8499
0.0714,562.6128
0.0716,556.6579
0.0718,555.4708
0.0720,555.4708
0.0722,556.6579
0.0724,562.6128
0.0726,555.4708
0.0728,556.6579
0.0730,555.4708
0.0732,556.6579
0.0734,563.8047
0.0736,556.6579
0.0738,555.4708
0.0740,555.4708
0.0742,555.4708
0.0744,563.8047
0.0746,556.6579
0.0748,557.8499
0.0750,555.4708
0.0752,556.6579
0.0754,563.8047
0.0756,556.6579
0.0758,556.6579
0.0760,556.6579
0.0762,556.6579
0.0764,563.8047
0.0766,555.4708
0.0768,555.4708
0.0770,555.4708
0.0772,555.4708
0.0774,563.8047
0.0776,556.6579
0.0778,556.6579
0.0780,556.6579
0.0782,556.6579
0.0784,562.6128
0.0786,556.6579
0.0788,555.4708
0.0790,555.4708
0.0792,555.4708
0.0794,563.8047
0.0796,556.6579
0.0798,556.6579
0.0800,555.4708
0.0802,555.4708
0.0804,562.6128
0.0806,556.6579
0.0808,556.6579
0.0810,556.6579
0.0812,564.9968
0.0814,554.2789
0.0816,556.6579
0.0818,556.6579
0.0820,555.4708
0.0822,556.6579
0.0824,564.9968
0.0826,556.6579
0.0828,555.4708
0.0830,556.6579
0.0832,556.6579
0.0834,562.6128
0.0836,557.8499
0.0838,556.6579
0.0840,556.6579
0.0842,556.6579
0.0844,562.6128
0.0846,556.6579
0.0848,557.8499
0.0850,556.6579
0.0852,556.6579
0.0854,563.8047
0.0856,555.4708
0.0858,556.6579
0.0860,556.6579
0.0862,555.4708
0.0864,562.6128
0.0866,556.6579
0.0868,556.6579
0.0870,555.4708
0.0872,556.6579
0.0874,563.8047
0.0876,556.6579
0.0878,556.6579
0.0880,556.6579
0.0882,556.6579
0.0884,563.8047
0.0886,556.6579
0.0888,556.6579
0.0890,556.6579
0.0892,556.6579
0.0894,563.8047
0.0896,556.6579
0.0898,556.6579
0.0900,555.4708
0.0902,555.4708
0.0904,563.8047
0.0906,555.4708
0.0908,556.6579
0.0910,556.6579
0.0912,556.6579
0.0914,563.8047
0.0916,557.8499
0.0918,557.8499
0.0920,564.9968
0.0922,556.6579
0.0924,562.6128
0.0926,556.6579
0.0928,555.4708
0.0930,555.4708
0.0932,556.6579
0.0934,563.8047
0.0936,556.6579
0.0938,555.4708
0.0940,555.4708
0.0942,556.6579
0.0944,562.6128
0.0946,556.6579
0.0948,556.6579
0.0950,555.4708
0.0952,556.6579
0.0954,563.8047
0.0956,556.6579
0.0958,556.6579
0.0960,555.4708
0.0962,556.6579
0.0964,562.6128
0.0966,556.6579
0.0968,556.6579
0.0970,556.6579
0.0972,556.6579
0.0974,563.8047
0.0976,556.6579
0.0978,556.6579
0.0980,555.4708
0.0982,556.6579
0.0984,562.6128
0.0986,557.8499
0.0988,556.6579
0.0990,556.6579
0.0992,564.9968
0.0994,555.4708
0.0996,556.6579
0.0998,556.6579
0.1000,555.4708
0.1002,556.6579
0.1004,563.8047
0.1006,556.6579
0.1008,556.6579
0.1010,556.6579
0.1012,556.6579
0.1014,562.6128
0.1016,556.6579
0.1018,556.6579
0.1020,555.4708
0.1022,556.6579
0.1024,562.6128
0.1026,556.6579
0.1028,556.6579
0.1030,556.6579
0.1032,556.6579
0.1034,563.8047
0.1036,556.6579
0.1038,556.6579
0.1040,555.4708
0.1042,555.4708
0.1044,562.6128
0.1046,557.8499
0.1048,556.6579
0.1050,556.6579
0.1052,555.4708
0.1054,564.9968
0.1056,556.6579
0.1058,556.6579
0.1060,555.4708
0.1062,556.6579
0.1064,563.8047
0.1066,556.6579
0.1068,556.6579
0.1070,556.6579
0.1072,555.4708
0.1074,562.6128
0.1076,556.6579
0.1078,556.6579
0.1080,556.6579
0.1082,555.4708
0.1084,562.6128
0.1086,556.6579
0.1088,556.6579
0.1090,556.6579
0.1092,556.6579
0.1094,563.8047
0.1096,556.6579
0.1098,557.8499
0.1100,555.4708
0.1102,556.6579
0.1104,562.6128
0.1106,557.8499
0.1108,555.4708
0.1110,556.6579
0.1112,556.6579
0.1114,563.8047
0.1116,557.8499
0.1118,560.2338
0.1120,556.6579
0.1122,557.8499
0.1124,562.6128
0.1126,556.6579
0.1128,555.4708
0.1130,555.4708
0.1132,557.8499
0.1134,562.6128
0.1136,557.8499
0.1138,557.8499
0.1140,555.4708
0.1142,555.4708
0.1144,550.7078
0.1146,564.9968
0.1148,556.6579
0.1150,556.6579
0.1152,556.6579
0.1154,562.6128
0.1156,555.4708
0.1158,556.6579
0.1160,556.6579
0.1162,555.4708
0.1164,563.8047
0.1166,556.6579
0.1168,556.6579
0.1170,556.6579
0.1172,563.8047
0.1174,554.2789
0.1176,556.6579
0.1178,555.4708
0.1180,554.2789
0.1182,556.6579
0.1184,562.6128
0.1186,556.6579
0.1188,556.6579
0.1190,555.4708
0.1192,556.6579
0.1194,562.6128
0.1196,556.6579
0.1198,556.6579
0.1200,555.4708
0.1202,556.6579
0.1204,562.6128
0.1206,557.8499
0.1208,556.6579
0.1210,556.6579
0.1212,556.6579
0.1214,562.6128
0.1216,556.6579
0.1218,556.6579
0.1220,555.4708
0.1222,556.6579
0.1224,563.8047
0.1226,557.8499
0.1228,556.6579
0.1230,556.6579
0.1232,555.4708
0.1234,563.8047
0.1236,556.6579
0.1238,556.6579
0.1240,554.2789
0.1242,556.6579
0.1244,561.4208
0.1246,556.6579
0.1248,556.6579
0.1250,555.4708
0.1252,556.6579
0.1254,564.9968
0.1256,556.6579
0.1258,556.6579
0.1260,555.4708
0.1262,556.6579
0.1264,562.6128
0.1266,556.6579
0.1268,556.6579
0.1270,556.6579
0.1272,556.6579
0.1274,563.8047
0.1276,556.6579
0.1278,556.6579
0.1280,555.4708
0.1282,556.6579
0.1284,575.7097
0.1286,563.8047
0.1288,556.6579
0.1290,555.4708
0.1292,556.6579
0.1294,562.6128
0.1296,556.6579
0.1298,556.6579
0.1300,555.4708
0.1302,556.6579
0.1304,563.8047
0.1306,556.6579
0.1308,556.6579
0.1310,556.6579
0.1312,556.6579
0.1314,562.6128
0.1316,556.6579
0.1318,556.6579
0.1320,555.4708
0.1322,555.4708
0.1324,563.8047
0.1326,557.8499
0.1328,555.4708
0.1330,556.6579
0.1332,556.6579
0.1334,562.6128
0.1336,557.8499
0.1338,555.4708
0.1340,555.4708
0.1342,556.6579
0.1344,562.6128
0.1346,557.8499
0.1348,555.4708
0.1350,555.4708
0.1352,564.9968
0.1354,555.4708
0.1356,557.8499
0.1358,555.4708
0.1360,555.4708
0.1362,556.6579
0.1364,563.8047
0.1366,557.8499
0.1368,556.6579
0.1370,555.4708
0.1372,555.4708
0.1374,563.8047
0.1376,556.6579
0.1378,556.6579
0.1380,555.4708
0.1382,556.6579
0.1384,562.6128
0.1386,557.8499
0.1388,556.6579
0.1390,555.4708
0.1392,555.4708
0.1394,562.6128
0.1396,556.6579
0.1398,556.6579
0.1400,555.4708
0.1402,556.6579
0.1404,563.8047
0.1406,556.6579
0.1408,556.6579
0.1410,555.4708
0.1412,556.6579
0.1414,563.8047
0.1416,556.6579
0.1418,556.6579
0.1420,556.6579
0.1422,557.8499
0.1424,563.8047
0.1426,556.6579
0.1428,556.6579
0.1430,556.6579
0.1432,556.6579
0.1434,562.6128
0.1436,556.6579
0.1438,556.6579
0.1440,554.2789
0.1442,556.6579
0.1444,562.6128
0.1446,557.8499
0.1448,556.6579
0.1450,555.4708
0.1452,556.6579
0.1454,563.8047
0.1456,556.6579
0.1458,556.6579
0.1460,555.4708
0.1462,556.6579
0.1464,562.6128
0.1466,556.6579
0.1468,556.6579
0.1470,555.4708
0.1472,556.6579
0.1474,563.8047
0.1476,556.6579
0.1478,556.6579
0.1480,555.4708
0.1482,556.6579
0.1484,563.8047
0.1486,557.8499
0.1488,556.6579
0.1490,557.8499
0.1492,555.4708
0.1494,562.6128
0.1496,557.8499
0.1498,556.6579
0.1500,555.4708
0.1502,557.8499
0.1504,562.6128
0.1506,556.6579
0.1508,556.6579
0.1510,555.4708
0.1512,556.6579
0.1514,562.6128
0.1516,556.6579
0.1518,555.4708
0.1520,555.4708
0.1522,556.6579
0.1524,562.6128
0.1526,557.8499
0.1528,556.6579
0.1530,555.4708
0.1532,564.9968
0.1534,554.2789
0.1536,556.6579
0.1538,556.6579
0.1540,554.2789
0.1542,556.6579
0.1544,562.6128
0.1546,556.6579
0.1548,556.6579
0.1550,555.4708
0.1552,556.6579
0.1554,563.8047
0.1556,556.6579
0.1558,555.4708
0.1560,554.2789
0.1562,557.8499
0.1564,562.6128
0.1566,556.6579
0.1568,555.4708
0.1570,555.4708
0.1572,555.4708
0.1574,563.8047
0.1576,556.6579
0.1578,556.6579
0.1580,555.4708
0.1582,557.8499
0.1584,562.6128
0.1586,556.6579
0.1588,555.4708
0.1590,555.4708
0.1592,556.6579
0.1594,562.6128
0.1596,556.6579
0.1598,555.4708
0.1600,555.4708
0.1602,556.6579
0.1604,575.7097
0.1606,566.1838
0.1608,556.6579
0.1610,555.4708
0.1612,556.6579
0.1614,562.6128
0.1616,555.4708
0.1618,556.6579
0.1620,555.4708
0.1622,557.8499
0.1624,563.8047
0.1626,557.8499
0.1628,556.6579
0.1630,555.4708
0.1632,556.6579
0.1634,563.8047
0.1636,557.8499
