Time (s),USB Avg Power (mW)
0.0000,558.9462
0.0002,566.1225
0.0004,560.1431
0.0006,560.1431
0.0008,557.7543
0.0010,558.9462
0.0012,564.9257
0.0014,558.9462
0.0016,558.9462
0.0018,556.5574
0.0020,558.9462
0.0022,566.1225
0.0024,558.9462
0.0026,558.9462
0.0028,557.7543
0.0030,560.1431
0.0032,564.9257
0.0034,558.9462
0.0036,558.9462
0.0038,557.7543
0.0040,558.9462
0.0042,566.1225
0.0044,558.9462
0.0046,560.1431
0.0048,557.7543
0.0050,558.9462
0.0052,564.9257
0.0054,558.9462
0.0056,558.9462
0.0058,557.7543
0.0060,557.7543
0.0062,566.1225
0.0064,558.9462
0.0066,558.9462
0.0068,557.7543
0.0070,558.9462
0.0072,566.1225
0.0074,558.9462
0.0076,560.1431
0.0078,557.7543
0.0080,558.9462
0.0082,564.9257
0.0084,557.7543
0.0086,558.9462
0.0088,556.5574
0.0090,558.9462
0.0092,575.6876
0.0094,549.3812
0.0096,558.9462
0.0098,557.7543
0.0100,558.9462
0.0102,566.1225
0.0104,557.7543
0.0106,558.9462
0.0108,556.5574
0.0110,558.9462
0.0112,564.9257
0.0114,560.1431
0.0116,560.1431
0.0118,557.7543
0.0120,558.9462
0.0122,566.1225
0.0124,558.9462
0.0126,558.9462
0.0128,558.9462
0.0130,558.9462
0.0132,566.1225
0.0134,560.1431
0.0136,558.9462
0.0138,558.9462
0.0140,557.7543
0.0142,566.1225
0.0144,558.9462
0.0146,558.9462
0.0148,557.7543
0.0150,560.1431
0.0152,564.9257
0.0154,560.1431
0.0156,558.9462
0.0158,557.7543
0.0160,558.9462
0.0162,566.1225
0.0164,557.7543
0.0166,558.9462
0.0168,558.9462
0.0170,558.9462
0.0172,564.9257
0.0174,558.9462
0.0176,560.1431
0.0178,557.7543
0.0180,558.9462
0.0182,566.1225
0.0184,558.9462
0.0186,558.9462
0.0188,557.7543
0.0190,557.7543
0.0192,566.1225
0.0194,558.9462
0.0196,560.1431
0.0198,557.7543
0.0200,558.9462
0.0202,566.1225
0.0204,557.7543
0.0206,558.9462
0.0208,557.7543
