Time (s),USB Avg Power (mW)
0.0000,780.7029
0.0002,868.6186
0.0004,866.2762
0.0006,863.9291
0.0008,854.5552
0.0010,876.8239
0.0012,861.5869
0.0014,861.5869
0.0016,849.8658
0.0018,869.7922
0.0020,883.8604
0.0022,877.9974
0.0024,862.7604
0.0026,868.6186
0.0028,858.071
0.0030,976.4654
0.0032,819.387
0.0034,754.9136
0.0036,754.9136
0.0038,804.1452
0.0040,828.7658
0.0042,872.1345
0.0044,989.3601
0.0046,1077.2758
0.0048,892.0657
0.0050,885.0292
0.0052,874.4815
0.0054,861.5869
0.0056,872.1345
0.0058,851.0345
0.0060,847.5186
0.0062,866.2762
0.0064,853.3816
0.0066,868.6186
0.0068,872.1345
0.0070,879.171
0.0072,859.2446
0.0074,855.7239
0.0076,873.308
0.0078,870.9657
0.0080,867.4498
0.0082,877.9974
0.0084,877.9974
0.0086,859.2446
0.0088,856.8975
0.0090,974.1231
0.0092,812.3552
0.0094,852.2081
0.0096,760.7766
0.0098,806.4922
0.0100,852.2081
0.0102,862.7604
0.0104,897.9238
0.0106,1093.6863
0.0108,886.2027
0.0110,881.5132
0.0112,838.1398
0.0114,783.0453
0.0116,872.1345
0.0118,876.8239
0.0120,880.3445
0.0122,852.2081
0.0124,865.1027
0.0126,870.9657
0.0128,863.9291
0.0130,848.6921
0.0132,869.7922
0.0134,877.9974
0.0136,879.171
0.0138,861.5869
0.0140,879.171
0.0142,872.1345
0.0144,862.7604
0.0146,853.3816
0.0148,989.3601
0.0150,820.5605
0.0152,834.624
0.0154,785.3923
0.0156,806.4922
0.0158,874.4815
0.0160,841.6605
0.0162,1175.7438
0.0164,851.0345
0.0166,752.5713
0.0168,841.6605
0.0170,882.6868
0.0172,876.8239
0.0174,872.1345
0.0176,874.4815
0.0178,875.6552
0.0180,870.9657
0.0182,868.6186
0.0184,872.1345
0.0186,860.4133
0.0188,862.7604
0.0190,863.9291
0.0192,868.6186
0.0194,851.0345
0.0196,874.4815
0.0198,876.8239
0.0200,881.5132
0.0202,861.5869
0.0204,865.1027
0.0206,866.2762
0.0208,873.308
0.0210,874.4815
0.0212,877.9974
0.0214,865.1027
0.0216,923.7131
0.0218,899.0974
0.0220,819.387
0.0222,806.4922
0.0224,798.287
0.0226,771.3241
0.0228,778.3606
0.0230,893.2392
0.0232,943.6444
0.0234,788.9082
0.0236,865.1027
0.0238,873.308
0.0240,877.9974
0.0242,875.6552
0.0244,877.9974
0.0246,877.9974
0.0248,865.1027
0.0250,870.9657
0.0252,859.2446
0.0254,868.6186
0.0256,863.9291
0.0258,859.2446
0.0260,852.2081
0.0262,856.8975
0.0264,868.6186
0.0266,863.9291
0.0268,862.7604
0.0270,869.7922
0.0272,881.5132
0.0274,858.071
0.0276,867.4498
0.0278,866.2762
0.0280,880.3445
0.0282,869.7922
0.0284,853.3816
0.0286,867.4498
0.0288,865.1027
0.0290,865.1027
0.0292,863.9291
0.0294,863.9291
0.0296,877.9974
0.0298,875.6552
0.0300,869.7922
0.0302,868.6186
0.0304,870.9657
0.0306,873.308
0.0308,875.6552
0.0310,881.5132
0.0312,879.171
0.0314,875.6552
0.0316,852.2081
0.0318,974.1231
0.0320,845.1763
0.0322,855.7239
0.0324,792.4241
0.0326,722.0925
0.0328,781.8765
0.0330,767.8083
0.0332,1017.4918
0.0334,982.3284
0.0336,867.4498
0.0338,875.6552
0.0340,886.2027
0.0342,866.2762
0.0344,870.9657
0.0346,873.308
0.0348,865.1027
0.0350,853.3816
0.0352,863.9291
0.0354,863.9291
0.0356,860.4133
0.0358,822.9028
0.0360,877.9974
0.0362,881.5132
0.0364,885.0292
0.0366,869.7922
0.0368,875.6552
0.0370,877.9974
0.0372,874.4815
0.0374,859.2446
0.0376,858.071
0.0378,996.3918
0.0380,811.1817
0.0382,828.7658
0.0384,788.9082
0.0386,787.7346
0.0388,876.8239
0.0390,824.0764
0.0392,1036.2494
0.0394,811.1817
0.0396,829.9346
0.0398,863.9291
0.0400,874.4815
0.0402,866.2762
0.0404,861.5869
0.0406,867.4498
0.0408,874.4815
0.0410,880.3445
0.0412,865.1027
0.0414,849.8658
0.0416,870.9657
0.0418,868.6186
0.0420,874.4815
0.0422,840.4869
0.0424,869.7922
0.0426,876.8239
0.0428,862.7604
0.0430,916.6814
0.0432,908.4761
0.0434,822.9028
0.0436,795.9399
0.0438,786.5659
0.0440,738.503
0.0442,786.5659
0.0444,971.7761
0.0446,814.6975
0.0448,790.0817
0.0450,874.4815
0.0452,870.9657
0.0454,859.2446
0.0456,876.8239
0.0458,880.3445
0.0460,890.8921
0.0462,873.308
0.0464,845.1763
0.0466,863.9291
0.0468,870.9657
0.0470,874.4815
0.0472,828.7658
0.0474,865.1027
0.0476,874.4815
0.0478,873.308
0.0480,870.9657
0.0482,879.171
0.0484,865.1027
0.0486,859.2446
0.0488,938.955
0.0490,715.056
0.0492,768.9818
0.0494,780.7029
0.0496,792.4241
0.0498,872.1345
0.0500,847.5186
0.0502,870.9657
0.0504,879.171
0.0506,879.171
0.0508,917.855
0.0510,1119.4757
0.0512,877.9974
0.0514,874.4815
0.0516,870.9657
0.0518,861.5869
0.0520,800.6293
0.0522,805.3187
0.0524,885.0292
0.0526,887.3762
0.0528,880.3445
0.0530,870.9657
0.0532,859.2446
0.0534,858.071
0.0536,866.2762
0.0538,841.6605
0.0540,881.5132
0.0542,876.8239
0.0544,867.4498
0.0546,863.9291
0.0548,859.2446
0.0550,855.7239
0.0552,860.4133
0.0554,849.8658
0.0556,861.5869
0.0558,862.7604
0.0560,869.7922
0.0562,860.4133
0.0564,860.4133
0.0566,849.8658
0.0568,813.524
0.0570,709.1978
0.0572,662.3085
0.0574,683.4084
0.0576,883.8604
0.0578,766.6347
0.0580,825.2499
0.0582,737.3295
0.0584,790.0817
0.0586,788.9082
0.0588,870.9657
0.0590,828.7658
0.0592,858.071
0.0594,1221.4596
0.0596,872.1345
0.0598,887.3762
0.0600,876.8239
0.0602,876.8239
0.0604,867.4498
0.0606,868.6186
0.0608,846.3499
0.0610,802.9764
0.0612,870.9657
0.0614,856.8975
0.0616,872.1345
0.0618,862.7604
0.0620,877.9974
0.0622,863.9291
0.0624,872.1345
0.0626,870.9657
0.0628,874.4815
0.0630,865.1027
0.0632,887.3762
0.0634,851.0345
0.0636,977.639
0.0638,827.5922
0.0640,851.0345
0.0642,776.0135
0.0644,784.2188
0.0646,839.3134
0.0648,751.3977
0.0650,896.7551
0.0652,902.6132
0.0654,814.6975
0.0656,869.7922
0.0658,873.308
0.0660,875.6552
0.0662,872.1345
0.0664,879.171
0.0666,873.308
0.0668,863.9291
0.0670,875.6552
0.0672,859.2446
0.0674,872.1345
0.0676,873.308
0.0678,862.7604
0.0680,841.6605
0.0682,858.071
0.0684,877.9974
0.0686,879.171
0.0688,860.4133
0.0690,874.4815
0.0692,869.7922
0.0694,869.7922
0.0696,869.7922
0.0698,865.1027
0.0700,888.5498
0.0702,868.6186
0.0704,914.3391
0.0706,908.4761
0.0708,832.2816
0.0710,794.7712
0.0712,792.4241
0.0714,760.7766
0.0716,768.9818
0.0718,765.4659
0.0720,795.9399
0.0722,880.3445
0.0724,875.6552
0.0726,1164.0227
0.0728,893.2392
0.0730,892.0657
0.0732,880.3445
0.0734,879.171
0.0736,870.9657
0.0738,849.8658
0.0740,872.1345
0.0742,875.6552
0.0744,882.6868
0.0746,858.071
0.0748,854.5552
0.0750,874.4815
0.0752,865.1027
0.0754,866.2762
0.0756,869.7922
0.0758,872.1345
0.0760,879.171
0.0762,863.9291
0.0764,870.9657
0.0766,875.6552
0.0768,874.4815
0.0770,861.5869
0.0772,866.2762
0.0774,965.913
0.0776,812.3552
0.0778,807.6659
0.0780,727.9507
0.0782,747.8819
0.0784,797.1135
0.0786,749.0507
0.0788,786.5659
0.0790,1134.7175
0.0792,892.0657
0.0794,896.7551
0.0796,887.3762
0.0798,880.3445
0.0800,881.5132
0.0802,875.6552
0.0804,852.2081
0.0806,859.2446
0.0808,863.9291
0.0810,875.6552
0.0812,842.8292
0.0814,842.8292
0.0816,876.8239
0.0818,876.8239
0.0820,873.308
0.0822,870.9657
0.0824,867.4498
0.0826,868.6186
0.0828,852.2081
0.0830,978.8077
0.0832,841.6605
0.0834,861.5869
0.0836,799.4605
0.0838,791.2553
0.0840,869.7922
0.0842,836.9711
0.0844,861.5869
0.0846,768.9818
0.0848,1071.4176
0.0850,931.9184
0.0852,892.0657
0.0854,874.4815
0.0856,873.308
0.0858,876.8239
0.0860,883.8604
0.0862,875.6552
0.0864,875.6552
0.0866,859.2446
0.0868,867.4498
0.0870,866.2762
0.0872,862.7604
0.0874,833.4551
0.0876,867.4498
0.0878,861.5869
0.0880,877.9974
0.0882,863.9291
0.0884,882.6868
0.0886,882.6868
0.0888,881.5132
0.0890,870.9657
0.0892,872.1345
0.0894,874.4815
0.0896,873.308
0.0898,847.5186
0.0900,972.9496
0.0902,856.8975
0.0904,851.0345
0.0906,770.1506
0.0908,700.9926
0.0910,791.2553
0.0912,757.2559
0.0914,1062.0388
0.0916,814.6975
0.0918,811.1817
0.0920,876.8239
0.0922,859.2446
0.0924,876.8239
0.0926,877.9974
0.0928,876.8239
0.0930,885.0292
0.0932,874.4815
0.0934,869.7922
0.0936,870.9657
0.0938,867.4498
0.0940,855.7239
0.0942,847.5186
0.0944,874.4815
0.0946,870.9657
0.0948,854.5552
0.0950,870.9657
0.0952,872.1345
0.0954,875.6552
0.0956,870.9657
0.0958,872.1345
0.0960,883.8604
0.0962,877.9974
