Time (s),USB Avg Power (mW)
0.0000,558.9319
0.0002,556.5432
0.0004,560.1288
0.0006,566.108
0.0008,557.7401
0.0010,558.9319
0.0012,557.7401
0.0014,560.1288
0.0016,564.9112
0.0018,558.9319
0.0020,558.9319
0.0022,557.7401
0.0024,560.1288
0.0026,566.108
0.0028,560.1288
0.0030,560.1288
0.0032,557.7401
0.0034,558.9319
0.0036,566.108
0.0038,560.1288
0.0040,558.9319
0.0042,558.9319
0.0044,558.9319
0.0046,566.108
0.0048,558.9319
0.0050,557.7401
0.0052,558.9319
0.0054,558.9319
0.0056,564.9112
0.0058,558.9319
0.0060,558.9319
0.0062,556.5432
0.0064,560.1288
0.0066,564.9112
0.0068,558.9319
0.0070,558.9319
0.0072,557.7401
0.0074,557.7401
0.0076,566.108
0.0078,558.9319
0.0080,558.9319
0.0082,556.5432
0.0084,558.9319
0.0086,590.0201
0.0088,558.9319
0.0090,558.9319
0.0092,567.3049
0.0094,550.564
0.0096,591.212
0.0098,569.6936
0.0100,558.9319
0.0102,556.5432
0.0104,560.1288
0.0106,564.9112
0.0108,558.9319
0.0110,560.1288
0.0112,557.7401
0.0114,558.9319
0.0116,566.108
0.0118,560.1288
0.0120,557.7401
0.0122,557.7401
0.0124,560.1288
0.0126,566.108
0.0128,558.9319
0.0130,558.9319
0.0132,556.5432
0.0134,560.1288
0.0136,564.9112
0.0138,558.9319
0.0140,557.7401
0.0142,557.7401
0.0144,558.9319
0.0146,564.9112
0.0148,558.9319
0.0150,558.9319
0.0152,557.7401
0.0154,560.1288
0.0156,564.9112
0.0158,558.9319
0.0160,558.9319
0.0162,557.7401
0.0164,560.1288
0.0166,564.9112
0.0168,558.9319
0.0170,558.9319
0.0172,557.7401
0.0174,558.9319
0.0176,566.108
0.0178,560.1288
0.0180,557.7401
0.0182,557.7401
0.0184,560.1288
0.0186,564.9112
0.0188,558.9319
0.0190,558.9319
0.0192,556.5432
0.0194,560.1288
0.0196,564.9112
0.0198,560.1288
0.0200,558.9319
0.0202,558.9319
0.0204,558.9319
0.0206,566.108
0.0208,558.9319
0.0210,560.1288
0.0212,556.5432
0.0214,560.1288
0.0216,564.9112
0.0218,558.9319
0.0220,558.9319
0.0222,558.9319
0.0224,558.9319
0.0226,566.108
0.0228,558.9319
0.0230,558.9319
0.0232,557.7401
0.0234,560.1288
0.0236,566.108
0.0238,558.9319
0.0240,560.1288
0.0242,557.7401
0.0244,558.9319
0.0246,588.8233
0.0248,560.1288
0.0250,560.1288
0.0252,557.7401
0.0254,560.1288
0.0256,564.9112
0.0258,560.1288
0.0260,558.9319
0.0262,558.9319
0.0264,558.9319
0.0266,564.9112
0.0268,558.9319
0.0270,558.9319
0.0272,567.3049
0.0274,550.564
0.0276,566.108
0.0278,558.9319
0.0280,558.9319
0.0282,558.9319
0.0284,558.9319
0.0286,564.9112
0.0288,558.9319
0.0290,560.1288
0.0292,558.9319
0.0294,560.1288
0.0296,566.108
0.0298,560.1288
0.0300,558.9319
0.0302,558.9319
0.0304,558.9319
0.0306,564.9112
0.0308,558.9319
0.0310,560.1288
0.0312,556.5432
0.0314,560.1288
0.0316,566.108
0.0318,560.1288
0.0320,558.9319
0.0322,557.7401
0.0324,560.1288
0.0326,566.108
0.0328,558.9319
0.0330,558.9319
0.0332,557.7401
0.0334,560.1288
0.0336,564.9112
0.0338,558.9319
0.0340,558.9319
0.0342,557.7401
0.0344,558.9319
0.0346,564.9112
0.0348,558.9319
0.0350,557.7401
0.0352,557.7401
0.0354,558.9319
0.0356,564.9112
0.0358,560.1288
0.0360,560.1288
0.0362,558.9319
0.0364,558.9319
0.0366,564.9112
0.0368,558.9319
0.0370,558.9319
0.0372,557.7401
0.0374,558.9319
0.0376,564.9112
0.0378,558.9319
0.0380,558.9319
0.0382,558.9319
0.0384,560.1288
0.0386,564.9112
0.0388,557.7401
0.0390,560.1288
0.0392,556.5432
0.0394,557.7401
0.0396,566.108
0.0398,558.9319
0.0400,558.9319
0.0402,557.7401
0.0404,558.9319
0.0406,566.108
0.0408,557.7401
0.0410,560.1288
0.0412,557.7401
0.0414,560.1288
0.0416,566.108
0.0418,560.1288
0.0420,558.9319
0.0422,557.7401
0.0424,558.9319
0.0426,564.9112
0.0428,558.9319
0.0430,560.1288
0.0432,557.7401
0.0434,560.1288
0.0436,566.108
0.0438,560.1288
0.0440,558.9319
0.0442,557.7401
0.0444,560.1288
0.0446,564.9112
0.0448,560.1288
0.0450,558.9319
0.0452,567.3049
0.0454,550.564
0.0456,566.108
0.0458,558.9319
0.0460,560.1288
0.0462,556.5432
0.0464,558.9319
0.0466,566.108
0.0468,558.9319
0.0470,558.9319
0.0472,557.7401
0.0474,560.1288
0.0476,566.108
0.0478,558.9319
0.0480,558.9319
0.0482,558.9319
0.0484,558.9319
0.0486,566.108
0.0488,558.9319
0.0490,560.1288
0.0492,557.7401
0.0494,560.1288
0.0496,566.108
0.0498,558.9319
