Time (s),USB Avg Power (mW)
0.0000,557.3591
0.0002,557.3591
0.0004,564.5374
0.0006,558.5563
0.0008,558.5563
0.0010,557.3591
0.0012,558.5563
0.0014,565.7346
0.0016,558.5563
0.0018,558.5563
0.0020,557.3591
0.0022,557.3591
0.0024,564.5374
0.0026,558.5563
0.0028,557.3591
0.0030,557.3591
0.0032,558.5563
0.0034,565.7346
0.0036,558.5563
0.0038,559.7535
0.0040,557.3591
0.0042,558.5563
0.0044,564.5374
0.0046,558.5563
0.0048,558.5563
0.0050,557.3591
0.0052,558.5563
0.0054,565.7346
0.0056,558.5563
0.0058,558.5563
0.0060,557.3591
0.0062,558.5563
0.0064,565.7346
0.0066,558.5563
0.0068,557.3591
0.0070,557.3591
0.0072,557.3591
0.0074,564.5374
0.0076,558.5563
0.0078,557.3591
0.0080,557.3591
0.0082,558.5563
0.0084,564.5374
0.0086,558.5563
0.0088,558.5563
0.0090,557.3591
0.0092,566.9268
0.0094,557.3591
0.0096,558.5563
0.0098,558.5563
0.0100,557.3591
0.0102,557.3591
0.0104,564.5374
0.0106,558.5563
0.0108,558.5563
0.0110,558.5563
0.0112,558.5563
0.0114,564.5374
0.0116,558.5563
0.0118,559.7535
0.0120,557.3591
0.0122,558.5563
0.0124,534.6368
0.0126,570.5184
0.0128,558.5563
0.0130,558.5563
0.0132,558.5563
0.0134,564.5374
0.0136,558.5563
0.0138,558.5563
0.0140,557.3591
0.0142,558.5563
0.0144,565.7346
0.0146,557.3591
0.0148,557.3591
0.0150,557.3591
0.0152,558.5563
0.0154,565.7346
0.0156,558.5563
0.0158,558.5563
0.0160,557.3591
0.0162,558.5563
0.0164,565.7346
0.0166,558.5563
0.0168,558.5563
0.0170,557.3591
0.0172,558.5563
0.0174,565.7346
0.0176,558.5563
0.0178,559.7535
0.0180,557.3591
0.0182,558.5563
0.0184,564.5374
0.0186,558.5563
0.0188,558.5563
0.0190,557.3591
0.0192,558.5563
0.0194,565.7346
0.0196,557.3591
0.0198,559.7535
0.0200,556.1619
0.0202,558.5563
0.0204,564.5374
0.0206,558.5563
0.0208,558.5563
0.0210,557.3591
0.0212,558.5563
0.0214,566.9268
0.0216,557.3591
0.0218,559.7535
0.0220,558.5563
0.0222,558.5563
0.0224,565.7346
0.0226,557.3591
0.0228,558.5563
0.0230,557.3591
0.0232,558.5563
0.0234,565.7346
0.0236,558.5563
0.0238,558.5563
0.0240,557.3591
0.0242,558.5563
0.0244,565.7346
0.0246,558.5563
0.0248,558.5563
0.0250,557.3591
0.0252,558.5563
0.0254,565.7346
0.0256,558.5563
0.0258,557.3591
0.0260,557.3591
0.0262,558.5563
0.0264,565.7346
0.0266,559.7535
0.0268,557.3591
0.0270,557.3591
0.0272,566.9268
0.0274,557.3591
0.0276,558.5563
0.0278,558.5563
0.0280,557.3591
0.0282,558.5563
0.0284,565.7346
0.0286,558.5563
0.0288,558.5563
0.0290,556.1619
0.0292,558.5563
0.0294,566.9268
0.0296,558.5563
0.0298,559.7535
0.0300,556.1619
0.0302,558.5563
0.0304,564.5374
0.0306,558.5563
0.0308,558.5563
0.0310,557.3591
0.0312,558.5563
0.0314,565.7346
0.0316,558.5563
0.0318,558.5563
0.0320,556.1619
0.0322,558.5563
0.0324,565.7346
0.0326,558.5563
0.0328,558.5563
0.0330,557.3591
0.0332,558.5563
0.0334,565.7346
0.0336,558.5563
0.0338,559.7535
0.0340,556.1619
0.0342,558.5563
0.0344,564.5374
0.0346,557.3591
0.0348,557.3591
0.0350,558.5563
0.0352,557.3591
0.0354,565.7346
0.0356,559.7535
0.0358,559.7535
0.0360,556.1619
0.0362,558.5563
0.0364,564.5374
0.0366,558.5563
0.0368,557.3591
0.0370,557.3591
0.0372,558.5563
0.0374,565.7346
0.0376,558.5563
0.0378,558.5563
0.0380,557.3591
0.0382,558.5563
0.0384,565.7346
0.0386,558.5563
0.0388,559.7535
0.0390,557.3591
0.0392,558.5563
0.0394,565.7346
0.0396,557.3591
0.0398,558.5563
0.0400,557.3591
0.0402,558.5563
0.0404,564.5374
0.0406,558.5563
0.0408,558.5563
0.0410,557.3591
0.0412,558.5563
0.0414,565.7346
0.0416,558.5563
0.0418,558.5563
0.0420,556.1619
0.0422,558.5563
0.0424,565.7346
0.0426,558.5563
0.0428,558.5563
0.0430,558.5563
0.0432,557.3591
0.0434,580.0862
0.0436,560.9506
0.0438,558.5563
0.0440,556.1619
0.0442,558.5563
0.0444,564.5374
0.0446,559.7535
0.0448,558.5563
0.0450,558.5563
0.0452,568.124
0.0454,554.9695
0.0456,558.5563
0.0458,558.5563
0.0460,556.1619
0.0462,558.5563
0.0464,564.5374
0.0466,558.5563
0.0468,558.5563
0.0470,557.3591
0.0472,558.5563
0.0474,566.9268
0.0476,558.5563
0.0478,559.7535
0.0480,557.3591
0.0482,558.5563
0.0484,564.5374
0.0486,558.5563
0.0488,558.5563
0.0490,557.3591
0.0492,557.3591
0.0494,565.7346
0.0496,558.5563
0.0498,558.5563
0.0500,556.1619
0.0502,558.5563
0.0504,565.7346
0.0506,557.3591
0.0508,558.5563
0.0510,557.3591
0.0512,559.7535
0.0514,564.5374
0.0516,558.5563
0.0518,558.5563
0.0520,557.3591
0.0522,558.5563
0.0524,565.7346
0.0526,558.5563
0.0528,558.5563
0.0530,556.1619
0.0532,558.5563
0.0534,565.7346
0.0536,557.3591
0.0538,559.7535
0.0540,556.1619
0.0542,558.5563
0.0544,564.5374
0.0546,558.5563
0.0548,558.5563
0.0550,557.3591
0.0552,558.5563
0.0554,565.7346
0.0556,558.5563
0.0558,558.5563
0.0560,557.3591
0.0562,559.7535
0.0564,564.5374
0.0566,558.5563
0.0568,557.3591
0.0570,558.5563
0.0572,557.3591
0.0574,565.7346
0.0576,558.5563
0.0578,558.5563
0.0580,557.3591
0.0582,557.3591
0.0584,564.5374
0.0586,559.7535
0.0588,558.5563
0.0590,557.3591
0.0592,558.5563
0.0594,566.9268
0.0596,557.3591
0.0598,558.5563
0.0600,554.9695
0.0602,557.3591
0.0604,564.5374
0.0606,558.5563
0.0608,557.3591
0.0610,557.3591
0.0612,558.5563
0.0614,568.124
0.0616,569.3212
0.0618,562.1429
0.0620,558.5563
0.0622,559.7535
0.0624,565.7346
0.0626,558.5563
0.0628,558.5563
0.0630,557.3591
0.0632,568.124
0.0634,556.1619
0.0636,558.5563
0.0638,558.5563
0.0640,557.3591
0.0642,558.5563
0.0644,564.5374
0.0646,558.5563
0.0648,558.5563
0.0650,557.3591
0.0652,558.5563
0.0654,565.7346
0.0656,558.5563
0.0658,558.5563
0.0660,556.1619
0.0662,558.5563
0.0664,564.5374
0.0666,559.7535
0.0668,557.3591
0.0670,557.3591
0.0672,558.5563
0.0674,565.7346
0.0676,558.5563
0.0678,558.5563
0.0680,554.9695
0.0682,558.5563
0.0684,565.7346
0.0686,557.3591
0.0688,559.7535
0.0690,557.3591
0.0692,557.3591
0.0694,564.5374
0.0696,558.5563
0.0698,558.5563
0.0700,556.1619
0.0702,558.5563
0.0704,564.5374
0.0706,558.5563
0.0708,558.5563
0.0710,557.3591
0.0712,557.3591
0.0714,565.7346
0.0716,557.3591
0.0718,558.5563
0.0720,557.3591
0.0722,558.5563
0.0724,564.5374
0.0726,558.5563
0.0728,558.5563
0.0730,557.3591
0.0732,558.5563
0.0734,565.7346
0.0736,558.5563
0.0738,558.5563
0.0740,556.1619
0.0742,558.5563
0.0744,564.5374
0.0746,558.5563
0.0748,558.5563
0.0750,556.1619
0.0752,558.5563
0.0754,564.5374
0.0756,558.5563
0.0758,558.5563
0.0760,556.1619
0.0762,558.5563
0.0764,565.7346
0.0766,558.5563
0.0768,558.5563
0.0770,557.3591
0.0772,557.3591
0.0774,564.5374
0.0776,559.7535
0.0778,558.5563
0.0780,557.3591
0.0782,558.5563
0.0784,564.5374
0.0786,559.7535
0.0788,558.5563
0.0790,557.3591
0.0792,558.5563
0.0794,564.5374
0.0796,558.5563
0.0798,558.5563
0.0800,556.1619
0.0802,559.7535
0.0804,564.5374
0.0806,558.5563
0.0808,559.7535
0.0810,557.3591
0.0812,568.124
0.0814,554.9695
0.0816,558.5563
0.0818,558.5563
0.0820,556.1619
0.0822,559.7535
0.0824,565.7346
0.0826,558.5563
0.0828,558.5563
0.0830,557.3591
0.0832,558.5563
0.0834,564.5374
0.0836,558.5563
0.0838,558.5563
0.0840,557.3591
0.0842,558.5563
0.0844,563.3401
0.0846,559.7535
0.0848,557.3591
0.0850,556.1619
0.0852,558.5563
0.0854,564.5374
0.0856,558.5563
0.0858,558.5563
0.0860,557.3591
0.0862,558.5563
0.0864,565.7346
0.0866,558.5563
0.0868,559.7535
0.0870,556.1619
0.0872,558.5563
0.0874,565.7346
0.0876,559.7535
0.0878,558.5563
0.0880,557.3591
0.0882,558.5563
0.0884,564.5374
0.0886,558.5563
0.0888,558.5563
0.0890,557.3591
0.0892,558.5563
0.0894,565.7346
0.0896,558.5563
0.0898,558.5563
0.0900,557.3591
0.0902,558.5563
0.0904,563.3401
0.0906,559.7535
0.0908,558.5563
0.0910,557.3591
0.0912,558.5563
0.0914,565.7346
0.0916,557.3591
0.0918,558.5563
0.0920,556.1619
0.0922,558.5563
0.0924,564.5374
0.0926,558.5563
0.0928,558.5563
0.0930,556.1619
0.0932,557.3591
0.0934,565.7346
0.0936,558.5563
0.0938,557.3591
0.0940,556.1619
0.0942,559.7535
0.0944,564.5374
0.0946,558.5563
0.0948,557.3591
0.0950,556.1619
0.0952,558.5563
0.0954,565.7346
0.0956,557.3591
0.0958,559.7535
0.0960,556.1619
0.0962,558.5563
0.0964,564.5374
0.0966,558.5563
0.0968,558.5563
0.0970,556.1619
0.0972,559.7535
0.0974,565.7346
0.0976,558.5563
0.0978,558.5563
0.0980,556.1619
0.0982,558.5563
0.0984,564.5374
0.0986,558.5563
0.0988,558.5563
0.0990,557.3591
0.0992,566.9268
0.0994,556.1619
0.0996,558.5563
0.0998,558.5563
0.1000,556.1619
0.1002,559.7535
0.1004,565.7346
0.1006,558.5563
0.1008,558.5563
0.1010,557.3591
0.1012,558.5563
0.1014,566.9268
0.1016,569.3212
0.1018,559.7535
0.1020,556.1619
0.1022,559.7535
0.1024,564.5374
0.1026,558.5563
0.1028,558.5563
0.1030,557.3591
0.1032,558.5563
0.1034,565.7346
0.1036,558.5563
0.1038,558.5563
0.1040,557.3591
0.1042,559.7535
0.1044,564.5374
0.1046,557.3591
0.1048,559.7535
0.1050,557.3591
0.1052,559.7535
0.1054,565.7346
0.1056,558.5563
0.1058,558.5563
0.1060,557.3591
0.1062,558.5563
0.1064,564.5374
0.1066,559.7535
0.1068,558.5563
0.1070,557.3591
0.1072,558.5563
0.1074,564.5374
0.1076,558.5563
0.1078,557.3591
0.1080,557.3591
0.1082,559.7535
0.1084,564.5374
0.1086,559.7535
0.1088,558.5563
0.1090,557.3591
0.1092,558.5563
0.1094,564.5374
0.1096,559.7535
0.1098,558.5563
0.1100,556.1619
0.1102,559.7535
0.1104,565.7346
0.1106,558.5563
0.1108,558.5563
0.1110,557.3591
0.1112,558.5563
0.1114,564.5374
0.1116,559.7535
0.1118,558.5563
0.1120,557.3591
0.1122,558.5563
0.1124,584.8701
0.1126,560.9506
0.1128,557.3591
0.1130,558.5563
0.1132,557.3591
0.1134,565.7346
0.1136,559.7535
0.1138,558.5563
0.1140,557.3591
0.1142,559.7535
0.1144,564.5374
0.1146,558.5563
0.1148,558.5563
0.1150,557.3591
0.1152,558.5563
0.1154,565.7346
0.1156,558.5563
0.1158,558.5563
0.1160,557.3591
0.1162,559.7535
0.1164,564.5374
0.1166,558.5563
0.1168,559.7535
0.1170,557.3591
0.1172,568.124
0.1174,556.1619
0.1176,558.5563
0.1178,557.3591
0.1180,557.3591
0.1182,559.7535
0.1184,564.5374
0.1186,558.5563
0.1188,558.5563
0.1190,557.3591
0.1192,558.5563
0.1194,564.5374
0.1196,559.7535
0.1198,559.7535
0.1200,558.5563
0.1202,558.5563
0.1204,564.5374
0.1206,557.3591
0.1208,558.5563
0.1210,556.1619
0.1212,558.5563
0.1214,564.5374
0.1216,558.5563
0.1218,558.5563
0.1220,557.3591
0.1222,558.5563
0.1224,564.5374
0.1226,558.5563
0.1228,557.3591
0.1230,557.3591
0.1232,558.5563
0.1234,564.5374
0.1236,558.5563
0.1238,558.5563
0.1240,557.3591
0.1242,558.5563
0.1244,566.9268
0.1246,558.5563
0.1248,558.5563
0.1250,558.5563
0.1252,558.5563
0.1254,565.7346
0.1256,557.3591
0.1258,559.7535
0.1260,556.1619
0.1262,558.5563
0.1264,564.5374
0.1266,558.5563
0.1268,558.5563
0.1270,557.3591
0.1272,558.5563
0.1274,564.5374
0.1276,559.7535
0.1278,558.5563
0.1280,558.5563
0.1282,558.5563
0.1284,572.9079
0.1286,566.9268
0.1288,558.5563
0.1290,557.3591
0.1292,558.5563
0.1294,565.7346
0.1296,558.5563
0.1298,558.5563
0.1300,557.3591
0.1302,558.5563
0.1304,564.5374
0.1306,558.5563
0.1308,558.5563
0.1310,557.3591
0.1312,559.7535
0.1314,564.5374
0.1316,558.5563
0.1318,557.3591
0.1320,557.3591
0.1322,558.5563
0.1324,564.5374
0.1326,558.5563
0.1328,557.3591
0.1330,557.3591
0.1332,559.7535
0.1334,574.1051
0.1336,583.6729
0.1338,558.5563
0.1340,557.3591
0.1342,558.5563
0.1344,583.6729
0.1346,584.8701
0.1348,558.5563
0.1350,556.1619
0.1352,566.9268
0.1354,556.1619
0.1356,558.5563
0.1358,559.7535
0.1360,557.3591
0.1362,558.5563
0.1364,564.5374
0.1366,558.5563
0.1368,558.5563
0.1370,557.3591
0.1372,558.5563
0.1374,564.5374
0.1376,558.5563
0.1378,557.3591
0.1380,557.3591
0.1382,558.5563
0.1384,564.5374
