Time (s),USB Avg Power (mW)
0.0000,557.2634
0.0002,558.4604
0.0004,558.4604
0.0006,563.2437
0.0008,556.0663
0.0010,557.2634
0.0012,559.6575
0.0014,558.4604
0.0016,563.2437
0.0018,557.2634
0.0020,558.4604
0.0022,558.4604
0.0024,559.6575
0.0026,563.2437
0.0028,557.2634
0.0030,558.4604
0.0032,558.4604
0.0034,558.4604
0.0036,564.4407
0.0038,557.2634
0.0040,558.4604
0.0042,558.4604
0.0044,558.4604
0.0046,563.2437
0.0048,556.0663
0.0050,558.4604
0.0052,558.4604
0.0054,558.4604
0.0056,563.2437
0.0058,557.2634
0.0060,558.4604
0.0062,558.4604
0.0064,558.4604
0.0066,563.2437
0.0068,556.0663
0.0070,558.4604
0.0072,559.6575
0.0074,558.4604
0.0076,563.2437
0.0078,557.2634
0.0080,558.4604
0.0082,558.4604
0.0084,558.4604
0.0086,563.2437
0.0088,558.4604
0.0090,557.2634
0.0092,568.027
0.0094,548.8939
0.0096,564.4407
0.0098,556.0663
0.0100,558.4604
0.0102,558.4604
0.0104,558.4604
0.0106,563.2437
0.0108,558.4604
0.0110,558.4604
0.0112,558.4604
0.0114,557.2634
0.0116,564.4407
0.0118,557.2634
0.0120,557.2634
0.0122,559.6575
0.0124,558.4604
0.0126,564.4407
0.0128,557.2634
0.0130,558.4604
0.0132,559.6575
0.0134,558.4604
0.0136,564.4407
0.0138,557.2634
0.0140,558.4604
0.0142,558.4604
0.0144,558.4604
0.0146,563.2437
0.0148,556.0663
0.0150,558.4604
0.0152,558.4604
0.0154,558.4604
0.0156,564.4407
0.0158,556.0663
0.0160,558.4604
0.0162,558.4604
0.0164,558.4604
0.0166,564.4407
0.0168,557.2634
0.0170,558.4604
0.0172,559.6575
0.0174,558.4604
0.0176,564.4407
0.0178,557.2634
0.0180,558.4604
0.0182,558.4604
0.0184,558.4604
0.0186,564.4407
0.0188,558.4604
0.0190,557.2634
0.0192,559.6575
0.0194,558.4604
0.0196,564.4407
0.0198,556.0663
0.0200,558.4604
0.0202,559.6575
0.0204,559.6575
0.0206,564.4407
0.0208,557.2634
0.0210,558.4604
0.0212,559.6575
0.0214,558.4604
0.0216,564.4407
0.0218,556.0663
0.0220,558.4604
0.0222,558.4604
0.0224,558.4604
0.0226,565.6378
0.0228,556.0663
0.0230,558.4604
0.0232,558.4604
0.0234,558.4604
0.0236,565.6378
0.0238,557.2634
0.0240,559.6575
0.0242,558.4604
0.0244,559.6575
0.0246,564.4407
0.0248,557.2634
0.0250,558.4604
0.0252,559.6575
0.0254,558.4604
0.0256,564.4407
0.0258,556.0663
0.0260,558.4604
0.0262,558.4604
0.0264,558.4604
0.0266,564.4407
0.0268,557.2634
0.0270,558.4604
0.0272,566.83
0.0274,548.8939
0.0276,564.4407
0.0278,556.0663
0.0280,557.2634
0.0282,558.4604
0.0284,558.4604
0.0286,564.4407
0.0288,557.2634
0.0290,558.4604
0.0292,558.4604
0.0294,558.4604
0.0296,564.4407
0.0298,557.2634
0.0300,558.4604
0.0302,558.4604
0.0304,559.6575
0.0306,564.4407
0.0308,556.0663
0.0310,558.4604
0.0312,559.6575
0.0314,557.2634
0.0316,565.6378
0.0318,557.2634
0.0320,559.6575
0.0322,558.4604
0.0324,558.4604
0.0326,564.4407
0.0328,558.4604
0.0330,559.6575
0.0332,558.4604
0.0334,558.4604
0.0336,565.6378
0.0338,557.2634
0.0340,558.4604
0.0342,559.6575
0.0344,558.4604
0.0346,564.4407
0.0348,556.0663
0.0350,559.6575
0.0352,558.4604
0.0354,559.6575
0.0356,564.4407
0.0358,557.2634
0.0360,558.4604
0.0362,558.4604
0.0364,559.6575
0.0366,564.4407
0.0368,557.2634
0.0370,558.4604
0.0372,559.6575
0.0374,558.4604
0.0376,565.6378
0.0378,556.0663
0.0380,558.4604
0.0382,558.4604
0.0384,559.6575
0.0386,568.027
0.0388,568.027
0.0390,562.0467
0.0392,562.0467
0.0394,559.6575
0.0396,565.6378
0.0398,557.2634
0.0400,559.6575
0.0402,558.4604
0.0404,558.4604
0.0406,564.4407
0.0408,557.2634
0.0410,559.6575
0.0412,558.4604
0.0414,558.4604
0.0416,564.4407
0.0418,556.0663
0.0420,557.2634
0.0422,558.4604
0.0424,558.4604
0.0426,565.6378
0.0428,556.0663
0.0430,558.4604
0.0432,558.4604
0.0434,558.4604
0.0436,564.4407
0.0438,556.0663
0.0440,558.4604
0.0442,557.2634
0.0444,559.6575
0.0446,563.2437
0.0448,557.2634
0.0450,557.2634
0.0452,566.83
0.0454,548.8939
0.0456,565.6378
0.0458,556.0663
0.0460,557.2634
0.0462,558.4604
0.0464,559.6575
0.0466,564.4407
0.0468,556.0663
0.0470,557.2634
0.0472,557.2634
0.0474,558.4604
0.0476,564.4407
0.0478,556.0663
0.0480,559.6575
0.0482,558.4604
0.0484,558.4604
0.0486,564.4407
0.0488,556.0663
0.0490,558.4604
0.0492,557.2634
0.0494,559.6575
0.0496,564.4407
0.0498,557.2634
0.0500,558.4604
0.0502,558.4604
0.0504,558.4604
0.0506,564.4407
0.0508,557.2634
0.0510,558.4604
0.0512,558.4604
0.0514,558.4604
0.0516,564.4407
0.0518,556.0663
0.0520,558.4604
0.0522,558.4604
0.0524,558.4604
0.0526,565.6378
0.0528,557.2634
0.0530,558.4604
0.0532,558.4604
0.0534,559.6575
0.0536,564.4407
0.0538,557.2634
0.0540,559.6575
0.0542,558.4604
0.0544,558.4604
0.0546,565.6378
0.0548,557.2634
0.0550,558.4604
0.0552,558.4604
0.0554,559.6575
0.0556,565.6378
0.0558,557.2634
0.0560,557.2634
0.0562,557.2634
0.0564,558.4604
0.0566,564.4407
0.0568,557.2634
0.0570,558.4604
0.0572,558.4604
0.0574,558.4604
0.0576,565.6378
0.0578,557.2634
0.0580,558.4604
0.0582,558.4604
0.0584,559.6575
0.0586,564.4407
0.0588,557.2634
0.0590,533.347
0.0592,625.4263
0.0594,606.2932
0.0596,796.4367
0.0598,907.649
0.0600,902.8658
0.0602,905.2549
0.0604,904.0628
0.0606,911.2353
0.0608,904.0628
0.0610,905.2549
0.0612,904.0628
0.0614,901.6688
0.0616,908.8461
0.0618,892.1022
0.0620,894.4963
0.0622,894.4963
0.0624,893.2992
0.0626,902.8658
0.0628,893.2992
0.0630,894.4963
0.0632,907.649
0.0634,880.1465
0.0636,900.4717
0.0638,872.9691
0.0640,767.7322
0.0642,444.8541
0.0644,444.8541
0.0646,539.3273
0.0648,557.2634
0.0650,558.4604
0.0652,558.4604
0.0654,558.4604
0.0656,564.4407
0.0658,557.2634
0.0660,558.4604
0.0662,559.6575
0.0664,558.4604
0.0666,564.4407
0.0668,556.0663
0.0670,558.4604
0.0672,558.4604
0.0674,558.4604
0.0676,564.4407
0.0678,557.2634
0.0680,559.6575
0.0682,557.2634
0.0684,558.4604
0.0686,565.6378
0.0688,557.2634
0.0690,558.4604
0.0692,558.4604
0.0694,559.6575
0.0696,565.6378
0.0698,556.0663
0.0700,559.6575
0.0702,557.2634
0.0704,558.4604
0.0706,565.6378
0.0708,557.2634
0.0710,559.6575
0.0712,557.2634
0.0714,558.4604
0.0716,565.6378
0.0718,557.2634
0.0720,558.4604
0.0722,558.4604
0.0724,559.6575
0.0726,565.6378
0.0728,557.2634
0.0730,558.4604
0.0732,558.4604
0.0734,559.6575
0.0736,564.4407
0.0738,556.0663
0.0740,558.4604
0.0742,558.4604
0.0744,559.6575
0.0746,565.6378
0.0748,557.2634
0.0750,559.6575
0.0752,558.4604
0.0754,558.4604
0.0756,564.4407
0.0758,557.2634
0.0760,558.4604
0.0762,558.4604
0.0764,558.4604
0.0766,565.6378
0.0768,557.2634
0.0770,559.6575
0.0772,558.4604
0.0774,558.4604
0.0776,566.83
0.0778,557.2634
0.0780,559.6575
0.0782,558.4604
0.0784,559.6575
0.0786,564.4407
0.0788,557.2634
0.0790,558.4604
0.0792,558.4604
0.0794,559.6575
0.0796,564.4407
0.0798,557.2634
0.0800,558.4604
0.0802,558.4604
0.0804,559.6575
0.0806,551.2831
0.0808,557.2634
0.0810,559.6575
0.0812,566.83
0.0814,548.8939
0.0816,559.6575
0.0818,556.0663
0.0820,558.4604
0.0822,558.4604
0.0824,558.4604
0.0826,565.6378
0.0828,556.0663
0.0830,558.4604
0.0832,559.6575
0.0834,559.6575
0.0836,564.4407
0.0838,556.0663
0.0840,558.4604
0.0842,558.4604
0.0844,558.4604
0.0846,564.4407
0.0848,557.2634
0.0850,559.6575
0.0852,558.4604
0.0854,559.6575
0.0856,564.4407
0.0858,557.2634
0.0860,559.6575
0.0862,558.4604
0.0864,558.4604
0.0866,581.1797
0.0868,557.2634
0.0870,558.4604
0.0872,557.2634
0.0874,558.4604
0.0876,563.2437
0.0878,556.0663
0.0880,558.4604
0.0882,558.4604
0.0884,558.4604
0.0886,564.4407
0.0888,557.2634
