Time (s),USB Avg Power (mW)
0.0000,558.1604
0.0002,556.964
0.0004,558.1604
0.0006,564.1375
0.0008,558.1604
0.0010,559.3568
0.0012,556.964
0.0014,558.1604
0.0016,564.1375
0.0018,559.3568
0.0020,558.1604
0.0022,556.964
0.0024,556.964
0.0026,566.5254
0.0028,556.964
0.0030,559.3568
0.0032,555.7676
0.0034,558.1604
0.0036,564.1375
0.0038,559.3568
0.0040,558.1604
0.0042,555.7676
0.0044,559.3568
0.0046,549.7953
0.0048,566.5254
0.0050,558.1604
0.0052,555.7676
0.0054,559.3568
0.0056,580.8675
0.0058,559.3568
0.0060,556.964
0.0062,555.7676
0.0064,558.1604
0.0066,564.1375
0.0068,558.1604
0.0070,556.964
0.0072,556.964
0.0074,568.9182
0.0076,564.1375
0.0078,556.964
0.0080,558.1604
0.0082,556.964
0.0084,558.1604
0.0086,565.3339
0.0088,558.1604
0.0090,558.1604
0.0092,566.5254
0.0094,549.7953
0.0096,564.1375
0.0098,558.1604
0.0100,556.964
0.0102,556.964
0.0104,558.1604
0.0106,564.1375
0.0108,558.1604
0.0110,558.1604
0.0112,555.7676
0.0114,556.964
0.0116,564.1375
0.0118,558.1604
0.0120,558.1604
0.0122,556.964
0.0124,558.1604
0.0126,564.1375
0.0128,558.1604
0.0130,558.1604
0.0132,556.964
0.0134,558.1604
0.0136,564.1375
0.0138,558.1604
0.0140,558.1604
0.0142,556.964
0.0144,558.1604
0.0146,565.3339
0.0148,558.1604
0.0150,558.1604
0.0152,556.964
0.0154,559.3568
0.0156,564.1375
0.0158,558.1604
0.0160,558.1604
0.0162,556.964
0.0164,559.3568
0.0166,564.1375
0.0168,559.3568
0.0170,559.3568
0.0172,556.964
0.0174,558.1604
0.0176,565.3339
0.0178,559.3568
0.0180,558.1604
0.0182,556.964
0.0184,559.3568
0.0186,564.1375
0.0188,558.1604
0.0190,558.1604
0.0192,556.964
0.0194,558.1604
0.0196,564.1375
0.0198,558.1604
0.0200,558.1604
0.0202,556.964
0.0204,559.3568
0.0206,565.3339
0.0208,558.1604
0.0210,558.1604
0.0212,556.964
0.0214,559.3568
0.0216,565.3339
0.0218,558.1604
0.0220,558.1604
0.0222,558.1604
0.0224,558.1604
0.0226,564.1375
0.0228,558.1604
0.0230,558.1604
0.0232,556.964
0.0234,558.1604
0.0236,564.1375
0.0238,559.3568
0.0240,558.1604
0.0242,556.964
0.0244,558.1604
0.0246,564.1375
0.0248,558.1604
0.0250,558.1604
0.0252,556.964
0.0254,559.3568
0.0256,564.1375
0.0258,558.1604
0.0260,558.1604
0.0262,555.7676
0.0264,558.1604
0.0266,564.1375
0.0268,558.1604
0.0270,556.964
0.0272,566.5254
0.0274,554.5761
0.0276,565.3339
0.0278,558.1604
0.0280,558.1604
0.0282,556.964
0.0284,558.1604
0.0286,564.1375
0.0288,556.964
0.0290,558.1604
0.0292,556.964
0.0294,559.3568
0.0296,565.3339
0.0298,558.1604
0.0300,558.1604
0.0302,555.7676
0.0304,558.1604
0.0306,564.1375
0.0308,559.3568
0.0310,558.1604
0.0312,556.964
0.0314,559.3568
0.0316,564.1375
0.0318,559.3568
0.0320,556.964
0.0322,558.1604
0.0324,558.1604
0.0326,565.3339
0.0328,558.1604
0.0330,558.1604
0.0332,556.964
0.0334,558.1604
0.0336,564.1375
0.0338,559.3568
0.0340,558.1604
0.0342,556.964
0.0344,558.1604
0.0346,565.3339
0.0348,559.3568
0.0350,558.1604
0.0352,556.964
0.0354,558.1604
0.0356,564.1375
0.0358,559.3568
0.0360,558.1604
0.0362,556.964
0.0364,556.964
0.0366,564.1375
0.0368,559.3568
0.0370,558.1604
0.0372,556.964
0.0374,559.3568
0.0376,564.1375
0.0378,558.1604
0.0380,558.1604
0.0382,556.964
0.0384,558.1604
0.0386,565.3339
0.0388,558.1604
0.0390,558.1604
0.0392,556.964
0.0394,558.1604
0.0396,565.3339
0.0398,559.3568
0.0400,556.964
0.0402,558.1604
0.0404,558.1604
0.0406,565.3339
0.0408,556.964
0.0410,559.3568
0.0412,556.964
0.0414,558.1604
0.0416,565.3339
0.0418,559.3568
0.0420,558.1604
0.0422,556.964
0.0424,559.3568
0.0426,564.1375
0.0428,558.1604
0.0430,558.1604
0.0432,556.964
0.0434,558.1604
0.0436,565.3339
0.0438,558.1604
0.0440,558.1604
0.0442,556.964
0.0444,558.1604
0.0446,566.5254
0.0448,556.964
0.0450,558.1604
0.0452,565.3339
0.0454,548.599
0.0456,564.1375
0.0458,556.964
0.0460,558.1604
0.0462,556.964
0.0464,558.1604
0.0466,564.1375
0.0468,556.964
0.0470,558.1604
0.0472,556.964
0.0474,558.1604
0.0476,564.1375
0.0478,559.3568
0.0480,556.964
0.0482,556.964
0.0484,558.1604
0.0486,564.1375
0.0488,556.964
0.0490,558.1604
0.0492,556.964
0.0494,558.1604
0.0496,564.1375
0.0498,558.1604
0.0500,556.964
0.0502,555.7676
0.0504,558.1604
0.0506,566.5254
0.0508,558.1604
0.0510,558.1604
0.0512,555.7676
0.0514,558.1604
0.0516,565.3339
0.0518,556.964
0.0520,558.1604
0.0522,556.964
0.0524,558.1604
0.0526,564.1375
0.0528,558.1604
0.0530,558.1604
0.0532,555.7676
0.0534,558.1604
0.0536,565.3339
0.0538,558.1604
0.0540,558.1604
0.0542,558.1604
0.0544,556.964
0.0546,565.3339
0.0548,558.1604
0.0550,559.3568
0.0552,556.964
0.0554,558.1604
0.0556,565.3339
0.0558,558.1604
0.0560,558.1604
0.0562,558.1604
0.0564,558.1604
0.0566,565.3339
0.0568,558.1604
0.0570,558.1604
0.0572,556.964
0.0574,558.1604
0.0576,564.1375
0.0578,558.1604
0.0580,556.964
0.0582,555.7676
0.0584,558.1604
0.0586,564.1375
0.0588,558.1604
0.0590,559.3568
0.0592,555.7676
0.0594,556.964
0.0596,564.1375
0.0598,556.964
0.0600,559.3568
0.0602,556.964
0.0604,558.1604
0.0606,565.3339
0.0608,559.3568
0.0610,559.3568
0.0612,555.7676
0.0614,558.1604
0.0616,564.1375
0.0618,558.1604
0.0620,558.1604
0.0622,556.964
0.0624,558.1604
0.0626,565.3339
0.0628,558.1604
0.0630,559.3568
0.0632,564.1375
0.0634,550.9869
0.0636,564.1375
0.0638,558.1604
0.0640,558.1604
0.0642,556.964
0.0644,558.1604
0.0646,566.5254
0.0648,558.1604
0.0650,559.3568
0.0652,556.964
0.0654,558.1604
0.0656,564.1375
0.0658,558.1604
0.0660,556.964
0.0662,556.964
0.0664,558.1604
0.0666,565.3339
0.0668,558.1604
0.0670,559.3568
0.0672,556.964
0.0674,558.1604
0.0676,564.1375
0.0678,558.1604
0.0680,556.964
0.0682,556.964
0.0684,556.964
0.0686,565.3339
0.0688,558.1604
0.0690,556.964
0.0692,556.964
0.0694,558.1604
0.0696,564.1375
0.0698,558.1604
0.0700,558.1604
0.0702,556.964
0.0704,558.1604
0.0706,564.1375
0.0708,558.1604
0.0710,559.3568
0.0712,555.7676
0.0714,556.964
0.0716,564.1375
0.0718,556.964
0.0720,559.3568
0.0722,558.1604
0.0724,556.964
0.0726,565.3339
0.0728,558.1604
0.0730,558.1604
0.0732,555.7676
0.0734,556.964
0.0736,564.1375
0.0738,559.3568
0.0740,558.1604
0.0742,556.964
0.0744,556.964
0.0746,565.3339
0.0748,558.1604
0.0750,559.3568
0.0752,556.964
0.0754,558.1604
0.0756,564.1375
0.0758,558.1604
0.0760,558.1604
0.0762,556.964
0.0764,558.1604
0.0766,565.3339
0.0768,558.1604
0.0770,558.1604
0.0772,558.1604
0.0774,558.1604
0.0776,565.3339
0.0778,559.3568
0.0780,559.3568
0.0782,556.964
0.0784,558.1604
0.0786,565.3339
0.0788,558.1604
0.0790,559.3568
0.0792,556.964
0.0794,558.1604
0.0796,565.3339
0.0798,558.1604
0.0800,558.1604
0.0802,558.1604
0.0804,558.1604
0.0806,565.3339
0.0808,559.3568
0.0810,558.1604
0.0812,565.3339
0.0814,549.7953
0.0816,565.3339
0.0818,558.1604
0.0820,558.1604
0.0822,558.1604
0.0824,558.1604
0.0826,565.3339
0.0828,556.964
0.0830,559.3568
0.0832,556.964
0.0834,558.1604
0.0836,564.1375
0.0838,558.1604
0.0840,558.1604
0.0842,556.964
0.0844,558.1604
0.0846,565.3339
0.0848,558.1604
0.0850,559.3568
0.0852,556.964
0.0854,558.1604
0.0856,564.1375
0.0858,559.3568
0.0860,556.964
0.0862,556.964
0.0864,558.1604
0.0866,566.5254
0.0868,556.964
0.0870,558.1604
0.0872,556.964
0.0874,558.1604
0.0876,564.1375
0.0878,558.1604
0.0880,558.1604
0.0882,558.1604
0.0884,556.964
0.0886,566.5254
0.0888,556.964
0.0890,558.1604
0.0892,556.964
0.0894,558.1604
0.0896,565.3339
0.0898,558.1604
0.0900,559.3568
0.0902,556.964
0.0904,556.964
0.0906,590.4289
0.0908,556.964
0.0910,559.3568
0.0912,556.964
0.0914,558.1604
0.0916,564.1375
0.0918,558.1604
0.0920,558.1604
0.0922,556.964
0.0924,556.964
0.0926,564.1375
0.0928,556.964
0.0930,558.1604
0.0932,556.964
0.0934,558.1604
0.0936,565.3339
0.0938,558.1604
0.0940,558.1604
0.0942,556.964
0.0944,558.1604
0.0946,565.3339
0.0948,558.1604
0.0950,558.1604
0.0952,556.964
0.0954,556.964
0.0956,565.3339
0.0958,556.964
0.0960,558.1604
0.0962,556.964
0.0964,558.1604
0.0966,565.3339
0.0968,558.1604
0.0970,558.1604
0.0972,556.964
0.0974,559.3568
0.0976,564.1375
0.0978,558.1604
0.0980,558.1604
0.0982,556.964
0.0984,558.1604
0.0986,564.1375
0.0988,558.1604
0.0990,559.3568
0.0992,565.3339
0.0994,548.599
0.0996,564.1375
0.0998,558.1604
0.1000,558.1604
0.1002,556.964
0.1004,558.1604
0.1006,565.3339
0.1008,558.1604
0.1010,558.1604
0.1012,555.7676
0.1014,558.1604
0.1016,565.3339
0.1018,558.1604
0.1020,558.1604
0.1022,556.964
0.1024,558.1604
0.1026,565.3339
0.1028,558.1604
0.1030,558.1604
0.1032,556.964
0.1034,558.1604
0.1036,565.3339
0.1038,558.1604
0.1040,558.1604
0.1042,556.964
0.1044,558.1604
0.1046,564.1375
0.1048,558.1604
0.1050,559.3568
0.1052,556.964
0.1054,558.1604
0.1056,589.2374
0.1058,558.1604
0.1060,558.1604
0.1062,555.7676
0.1064,558.1604
0.1066,565.3339
0.1068,556.964
0.1070,558.1604
0.1072,556.964
0.1074,568.9182
0.1076,566.5254
0.1078,562.9411
0.1080,559.3568
0.1082,565.3339
0.1084,559.3568
0.1086,564.1375
0.1088,556.964
0.1090,558.1604
0.1092,558.1604
0.1094,558.1604
0.1096,565.3339
0.1098,556.964
0.1100,558.1604
0.1102,558.1604
0.1104,558.1604
0.1106,564.1375
0.1108,558.1604
0.1110,558.1604
0.1112,555.7676
0.1114,558.1604
0.1116,565.3339
0.1118,559.3568
0.1120,559.3568
0.1122,556.964
0.1124,556.964
0.1126,565.3339
0.1128,556.964
0.1130,558.1604
0.1132,556.964
0.1134,558.1604
0.1136,564.1375
0.1138,558.1604
0.1140,559.3568
0.1142,558.1604
0.1144,559.3568
0.1146,565.3339
0.1148,558.1604
0.1150,558.1604
0.1152,555.7676
0.1154,558.1604
0.1156,566.5254
0.1158,558.1604
0.1160,556.964
0.1162,556.964
0.1164,556.964
0.1166,565.3339
0.1168,556.964
0.1170,558.1604
0.1172,566.5254
0.1174,548.599
0.1176,565.3339
0.1178,558.1604
0.1180,558.1604
0.1182,556.964
0.1184,558.1604
0.1186,564.1375
0.1188,556.964
0.1190,558.1604
0.1192,555.7676
0.1194,558.1604
0.1196,564.1375
0.1198,558.1604
0.1200,559.3568
0.1202,560.5483
0.1204,524.6954
0.1206,626.2866
0.1208,597.6024
0.1210,790.0317
0.1212,899.9879
0.1214,904.7686
0.1216,909.5493
0.1218,903.5771
0.1220,903.5771
0.1222,903.5771
0.1224,903.5771
0.1226,908.3578
0.1228,902.3807
0.1230,901.1843
0.1232,894.0157
0.1234,895.2072
0.1236,901.1843
0.1238,895.2072
0.1240,894.0157
0.1242,894.0157
0.1244,894.0157
0.1246,899.9879
0.1248,895.2072
0.1250,897.6
0.1252,870.1122
0.1254,747.0055
0.1256,450.5922
0.1258,443.4187
0.1260,540.2339
0.1262,558.1604
0.1264,558.1604
0.1266,565.3339
0.1268,558.1604
0.1270,559.3568
0.1272,558.1604
0.1274,559.3568
0.1276,565.3339
0.1278,556.964
0.1280,558.1604
0.1282,556.964
0.1284,558.1604
0.1286,565.3339
0.1288,559.3568
0.1290,556.964
0.1292,556.964
0.1294,558.1604
0.1296,564.1375
0.1298,558.1604
0.1300,559.3568
0.1302,555.7676
0.1304,558.1604
0.1306,564.1375
0.1308,558.1604
0.1310,558.1604
0.1312,556.964
0.1314,558.1604
0.1316,565.3339
0.1318,558.1604
0.1320,559.3568
0.1322,558.1604
0.1324,558.1604
0.1326,565.3339
0.1328,556.964
0.1330,558.1604
0.1332,556.964
0.1334,556.964
0.1336,566.5254
0.1338,558.1604
0.1340,558.1604
0.1342,556.964
0.1344,558.1604
0.1346,565.3339
0.1348,558.1604
0.1350,558.1604
0.1352,566.5254
0.1354,549.7953
0.1356,565.3339
0.1358,558.1604
0.1360,559.3568
0.1362,556.964
0.1364,558.1604
0.1366,565.3339
0.1368,558.1604
0.1370,558.1604
0.1372,558.1604
0.1374,556.964
0.1376,565.3339
0.1378,558.1604
0.1380,558.1604
0.1382,556.964
0.1384,558.1604
0.1386,565.3339
0.1388,558.1604
0.1390,558.1604
0.1392,556.964
0.1394,558.1604
0.1396,565.3339
0.1398,558.1604
0.1400,559.3568
0.1402,556.964
0.1404,558.1604
0.1406,565.3339
0.1408,559.3568
0.1410,558.1604
0.1412,558.1604
0.1414,558.1604
0.1416,565.3339
0.1418,558.1604
0.1420,558.1604
0.1422,555.7676
0.1424,558.1604
0.1426,564.1375
0.1428,559.3568
0.1430,559.3568
0.1432,556.964
0.1434,558.1604
0.1436,565.3339
0.1438,558.1604
0.1440,558.1604
0.1442,556.964
0.1444,558.1604
0.1446,564.1375
0.1448,558.1604
0.1450,558.1604
0.1452,558.1604
0.1454,558.1604
0.1456,565.3339
0.1458,558.1604
0.1460,558.1604
0.1462,556.964
0.1464,558.1604
0.1466,564.1375
0.1468,558.1604
0.1470,556.964
0.1472,558.1604
0.1474,558.1604
0.1476,564.1375
0.1478,556.964
0.1480,558.1604
0.1482,556.964
0.1484,558.1604
0.1486,564.1375
0.1488,558.1604
0.1490,558.1604
0.1492,556.964
