Time (s),USB Avg Power (mW)
0.0000,557.0089
0.0002,562.9875
0.0004,557.0089
0.0006,557.0089
0.0008,557.0089
0.0010,557.0089
0.0012,562.9875
0.0014,558.2056
0.0016,558.2056
0.0018,558.2056
0.0020,558.2056
0.0022,562.9875
0.0024,557.0089
0.0026,557.0089
0.0028,557.0089
0.0030,557.0089
0.0032,562.9875
0.0034,557.0089
0.0036,557.0089
0.0038,557.0089
0.0040,558.2056
0.0042,561.7908
0.0044,557.0089
0.0046,557.0089
0.0048,557.0089
0.0050,555.8121
0.0052,562.9875
0.0054,557.0089
0.0056,557.0089
0.0058,557.0089
0.0060,558.2056
0.0062,562.9875
0.0064,557.0089
0.0066,557.0089
0.0068,557.0089
0.0070,557.0089
0.0072,562.9875
0.0074,557.0089
0.0076,558.2056
0.0078,557.0089
0.0080,558.2056
0.0082,562.9875
0.0084,557.0089
0.0086,557.0089
0.0088,557.0089
0.0090,557.0089
0.0092,572.5464
0.0094,547.445
0.0096,558.2056
0.0098,558.2056
0.0100,557.0089
0.0102,562.9875
0.0104,557.0089
0.0106,557.0089
0.0108,557.0089
0.0110,557.0089
0.0112,562.9875
0.0114,557.0089
0.0116,558.2056
0.0118,557.0089
0.0120,557.0089
0.0122,562.9875
0.0124,555.8121
0.0126,557.0089
0.0128,558.2056
0.0130,557.0089
0.0132,562.9875
0.0134,557.0089
0.0136,558.2056
0.0138,557.0089
0.0140,557.0089
0.0142,562.9875
0.0144,558.2056
0.0146,557.0089
0.0148,558.2056
0.0150,557.0089
0.0152,562.9875
0.0154,558.2056
0.0156,558.2056
0.0158,557.0089
0.0160,558.2056
0.0162,562.9875
0.0164,557.0089
0.0166,558.2056
0.0168,558.2056
0.0170,558.2056
0.0172,562.9875
0.0174,557.0089
0.0176,558.2056
0.0178,566.5727
0.0180,528.3222
0.0182,623.946
0.0184,632.3132
0.0186,796.0709
0.0188,904.8439
0.0190,904.8439
0.0192,907.2324
0.0194,902.4504
0.0196,902.4504
0.0198,902.4504
0.0200,902.4504
0.0202,907.2324
0.0204,901.2587
0.0206,896.4767
0.0208,872.5671
0.0210,873.7637
0.0212,877.349
0.0214,870.1786
0.0216,871.3752
0.0218,871.3752
0.0220,871.3752
0.0222,877.349
0.0224,871.3752
0.0226,873.7637
0.0228,873.7637
0.0230,695.6652
0.0232,445.8474
0.0234,441.0655
0.0236,554.6203
0.0238,557.0089
0.0240,558.2056
0.0242,562.9875
0.0244,557.0089
0.0246,557.0089
0.0248,557.0089
0.0250,558.2056
0.0252,562.9875
0.0254,557.0089
0.0256,557.0089
0.0258,558.2056
0.0260,557.0089
0.0262,549.8384
0.0264,557.0089
0.0266,558.2056
0.0268,557.0089
0.0270,557.0089
0.0272,571.3546
0.0274,548.6417
0.0276,558.2056
0.0278,557.0089
0.0280,557.0089
0.0282,562.9875
0.0284,557.0089
0.0286,557.0089
0.0288,557.0089
0.0290,558.2056
0.0292,562.9875
0.0294,557.0089
0.0296,557.0089
0.0298,557.0089
0.0300,557.0089
0.0302,561.7908
0.0304,557.0089
0.0306,557.0089
0.0308,558.2056
0.0310,557.0089
0.0312,562.9875
0.0314,557.0089
0.0316,558.2056
0.0318,557.0089
0.0320,557.0089
