Time (s),USB Avg Power (mW)
0.0000,541.8674
0.0002,540.7053
0.0004,543.0344
0.0006,545.3635
0.0008,540.7053
0.0010,541.8674
0.0012,540.7053
0.0014,541.8674
0.0016,547.6974
0.0018,540.7053
0.0020,540.7053
0.0022,540.7053
0.0024,540.7053
0.0026,546.5305
0.0028,540.7053
0.0030,540.7053
0.0032,540.7053
0.0034,541.8674
0.0036,546.5305
0.0038,541.8674
0.0040,540.7053
0.0042,541.8674
0.0044,540.7053
0.0046,547.6974
0.0048,541.8674
0.0050,540.7053
0.0052,540.7053
0.0054,540.7053
0.0056,546.5305
0.0058,541.8674
0.0060,540.7053
0.0062,540.7053
0.0064,540.7053
0.0066,546.5305
0.0068,540.7053
0.0070,541.8674
0.0072,540.7053
0.0074,540.7053
0.0076,547.6974
0.0078,540.7053
0.0080,540.7053
0.0082,540.7053
0.0084,540.7053
0.0086,546.5305
0.0088,540.7053
0.0090,541.8674
0.0092,551.1934
0.0094,534.8754
0.0096,550.0265
0.0098,541.8674
0.0100,540.7053
0.0102,541.8674
0.0104,541.8674
0.0106,547.6974
0.0108,540.7053
0.0110,541.8674
0.0112,540.7053
0.0114,541.8674
0.0116,546.5305
0.0118,541.8674
0.0120,541.8674
0.0122,541.8674
0.0124,541.8674
0.0126,547.6974
0.0128,541.8674
0.0130,543.0344
0.0132,543.0344
0.0134,544.2013
0.0136,548.8596
0.0138,543.0344
0.0140,540.7053
0.0142,541.8674
0.0144,541.8674
0.0146,547.6974
0.0148,541.8674
0.0150,543.0344
0.0152,543.0344
0.0154,543.0344
0.0156,547.6974
0.0158,541.8674
0.0160,541.8674
0.0162,541.8674
0.0164,543.0344
0.0166,547.6974
0.0168,543.0344
0.0170,541.8674
0.0172,541.8674
0.0174,541.8674
0.0176,547.6974
0.0178,541.8674
0.0180,541.8674
0.0182,541.8674
0.0184,541.8674
0.0186,547.6974
0.0188,540.7053
0.0190,540.7053
0.0192,541.8674
0.0194,541.8674
0.0196,547.6974
0.0198,541.8674
0.0200,541.8674
0.0202,541.8674
0.0204,541.8674
0.0206,547.6974
0.0208,540.7053
0.0210,541.8674
0.0212,540.7053
0.0214,541.8674
